ecatalogue_key,IdeFiledAsFamily,IdeFiledAsSubfamily,DarScientificName,LotRegion_tab,LotNoOfSpecimens_tab,LotPrimaryType,LotSyntypes,LotParatypes
620,Coccinellidae,Scymninae,"Hyperaspis osculans J. L. LeConte, 1880",Nearctic,5,,,
621,Coccinellidae,Epilachninae,"Henosepilachna kiboensis Jadwiszczak & Wegrzynowicz, 2003",Pacific,48,,,
622,Coccinellidae,Coccinellinae,"Hippodamia caseyi Johnson, 1910",Nearctic,21,,,
623,Coccinellidae,Coccinellinae,"Coccinella nigrovittata Kapur, 1963","Oriental
Palearctic","1
1",,,
624,Coccinellidae,Coccinellinae,Hippodamia sinuata disjuncta Kirby,Nearctic,23,,,
625,Coccinellidae,Coccinellinae,"Coccinella hieroglyphica  tricuspis Kirby, 1837",Nearctic,7,,,
626,Coccinellidae,Scymninae,"Nephus includens Kirsch, 1871",Palearctic,2,,,
627,Coccinellidae,Scymninae,"Pentilia dispar Kirsch, 1876",Neotropical,1,,,
628,Coccinellidae,Coccinellinae,"Coccinella pulchella Klug, 1829",Neotropical,30,,,
629,Coccinellidae,Chilocorinae,"Chilocorus distigma Klug, 1835",Afrotropical,8,,,
630,Coccinellidae,Scymninae,"Hyperaspis cordifera Korschefsky, 1931",Neotropical,1,,,
631,Coccinellidae,Coccinellinae,"Verania aphidectoides Korschefsky, 1934",Australian,4,,,
632,Coccinellidae,Scymninae,"Nephus bipunctatus Kugelann, 1794","Palearctic=3
Afrotropical","16
4",,,
633,Coccinellidae,Scymninae,"Scymnus Kugelann, 1794","Nearctic
Neotropical
Oriental
Palearctic
Australian
Afrotropical
unknown","176
302
1
13
2
4
16",,,
634,Coccinellidae,Scymninae,"Scymnus nigrinus Kugelann, 1794",Palearctic,41,,,
635,Coccinellidae,Scymninae,"Scymnus ater Kugelann, 1794",Oriental,1,,,
636,Coccinellidae,Coccidulinae,"Coccidula Kugelann, 1798",Nearctic,1,,,
637,Coccinellidae,Chilocorinae,"Exochomus pubescens Küster, 1848",Palearctic,2,,,
638,Coccinellidae,Chilocorinae,"Exochomus L. Redtenbacher, 1843",Neotropical,15,,,
639,Coccinellidae,Coccinellinae,"Hippodamia notata Laicharting, 1871",Palearctic,27,,,
640,Coccinellidae,Coccinellinae,"Hippodamia notata Laicharting, 1871",Palearctic,56,,,
641,Coccinellidae,Epilachninae,Epilachna borealis ab. tridecimmaculata Latreille,Neotropical,2,,,
642,Coccinellidae,,"Coccinellidae Latreille, 1807","Nearctic
Neotropical
Oriental
Palearctic
Australian
Pacific
Afrotropical
unknown","102
1088
865
966
262
15
389
34",,,
643,Coccinellidae,Coccinellinae,Coccinellini,"Nearctic
Neotropical","14
846",,,
644,Coccinellidae,Coccinellinae,"Coccinellinae Latreille, 1807","Nearctic
Oriental
Neotropical","1
9
20",,,
645,Coccinellidae,Coccidulinae,"Rhyzobius alphabeticus Lea, 1902",Australian,4,,,
646,Coccinellidae,Coccidulinae,"Rhyzobius noctuabundus Lea, 1914",Palearctic,14,,,
647,Coccinellidae,Chilocorinae,"Chilocorus Leach, 1815","Nearctic
Neotropical","62
23",,,
648,Coccinellidae,Coccinellinae,Ceratomegilla floridana Leng,Nearctic,3,,,
649,Coccinellidae,Scymninae,Brachiacantha mexicana Leng,Neotropical,3,,,
650,Coccinellidae,Scymninae,Hyperaspis trimaculata Linnaeus,Neotropical,1,,,
651,Coccinellidae,Coccinellinae,"Myrrha octodecimguttata Linnaeus, 1758",Palearctic,77,,,
652,Coccinellidae,Coccinellinae,"Coccinella punctata Linnaeus, 1758",Palearctic,26,,,
653,Coccinellidae,Coccinellinae,"Coccinella quatuordecimpunctata Linnaeus, 1758",Palearctic,437,,,
654,Coccinellidae,Coccinellinae,"Coccinella septempunctata Linnaeus, 1758","Nearctic
Oriental
Palearctic","92
2
949",,,
655,Coccinellidae,Coccinellinae,"Coccinula quatuordecimpustulata Linnaeus, 1758",Palearctic,52,,,
656,Coccinellidae,Coccinellinae,"Coccinella hieroglyphica Linnaeus, 1758","Nearctic
Palearctic","2
27",,,
657,Coccinellidae,Coccinellinae,"Coccinella Linnaeus, 1758","Nearctic
Neotropical
Palearctic","303
2
2",,,
658,Coccinellidae,Coccinellinae,"Myzia oblongoguttata Linnaeus, 1758","Palearctic
unknown","31
1",,,
659,Coccinellidae,Chilocorinae,"Exochomus quadripustulatus Linnaeus, 1758",Palearctic,62,,,
660,Coccinellidae,Coccinellinae,"Aphidecta obliterata Linnaeus, 1758",Palearctic,124,,,
661,Coccinellidae,Coccinellinae,"Calvia decemguttata Linnaeus, 1758",Palearctic,15,,,
662,Coccinellidae,Coccinellinae,"Coccinula quatuordecimpustulata Linnaeus, 1758","Oriental
Palearctic","4
316",,,
663,Coccinellidae,Coccidulinae,"Sospita vigintiguttata Linnaeus, 1758",Palearctic,13,,,
664,Coccinellidae,Epilachninae,"Cynegetis impunctata Linnaeus, 1758",Palearctic,52,,,
665,Coccinellidae,Coccinellinae,"Coccinella quinquepunctata Linnaeus, 1758",Palearctic,161,,,
666,Coccinellidae,Coccinellinae,"Coccinella undecimpunctata Linnaeus, 1758","Palearctic
Nearctic","123
20",,,
667,Coccinellidae,Coccinellinae,"Coccinella trifasciata Linnaeus, 1758","Nearctic
Palearctic","113
12",,,
668,Coccinellidae,Coccinellinae,"Mononeda marginata Linnaeus, 1767","unknown
Neotropical","1
6",,,
669,Coccinellidae,Coccinellinae,"Adalia bipunctata f. quadrimaculata Linnaeus, 1767",Palearctic,1,,,
670,Coccinellidae,Coccinellinae,"Coccinella undecimpunctata undecimpunctata Linnaeus, 7158",Nearctic,4,,,
671,Coccinellidae,Coccinellinae,"Coccinella arabica Mader, 1931",Palearctic,2,,,
672,Coccinellidae,Coccinellinae,"Adalia kuscheli Mader, 1957",Neotropical,2,,,
673,Coccinellidae,Scymninae,"Hyperaspis obscura Malkin, 1943",Nearctic,2,,,
674,Coccinellidae,Scymninae,"Scymnus (Scymnus) fenderi Malkin, 1943",Nearctic,26,,,
675,Coccinellidae,Scymninae,"Scymnus (Pullus) marginicollis Mannerheim, 1843",Nearctic,52,,,
676,Coccinellidae,Coccinellinae,"Coccinella californica Mannerheim, 1843","Nearctic
Oriental","114
4",,,
677,Coccinellidae,Scymninae,"Scymnus syriacus Marsuel, 1868",Palearctic,5,,,
678,Coccinellidae,Coccinellinae,"Neoharmonia venusta Melsheimer, 1847",Nearctic,9,,,
679,Coccinellidae,Coccinellinae,"Neoharmonia venusta venusta Melsheimer, 1847",Nearctic,15,,,
680,Coccinellidae,Coccinellinae,"Oenopia conglobata contaminata Ménétriés, 1849",unknown,2,,,
681,Coccinellidae,Coccinellinae,Monocoryna magnopunctata Miyatake,Oriental,1,,,
682,Coccinellidae,Scymninae,"Scymnus juniperi Motschulsky, 1837",Palearctic,18,,,
683,Coccinellidae,Coccinellinae,"Hippodamia lunatomaculata lunatomaculata Motschulsky, 1845",Nearctic,201,,,
684,Coccinellidae,Coccinellinae,"Hippodamia lunatomaculata Motschulsky, 1845",Nearctic,26,,,
685,Coccinellidae,Scymninae,Palla hydropicta Mulsant,Neotropical,1,,,
686,Coccinellidae,Coccinellinae,Psyllobora rolli Mulsant,Neotropical,6,,,
687,Coccinellidae,Coccinellinae,Mulsantina luteipennis Mulsant,Neotropical,4,,,
688,Coccinellidae,Coccinellinae,Lioadalia lutopicta Mulsant,Oriental,1,,,
689,Coccinellidae,Scymninae,Hyperaspis courpedita Mulsant,Neotropical,2,,,
690,Coccinellidae,Scymninae,Hyperaspis marmothani Mulsant,Palearctic,4,,,
691,Coccinellidae,Chilocorinae,Chilocorus dohrni Mulsant,Afrotropical,8,,,
692,Coccinellidae,Coccinellinae,Coelophora versipellis Mulsant,Oriental,10,,,
693,Coccinellidae,Sticholotidinae,"Coelopterus salinus Mulsant & Rey, 1852",Palearctic,2,,,
694,Coccinellidae,Scymninae,Hyperaspidini,Neotropical,333,,,
695,Coccinellidae,Coccinellinae,Coccinellinae,Neotropical,37,,,
696,Coccinellidae,Scymninae,"Scymninae Mulsant, 1846","Neotropical
Nearctic
Oriental","392
324
87",,,
697,Coccinellidae,Scymninae,Scymnini,Nearctic,20,,,
698,Coccinellidae,Chilocorinae,Chilocorini,Neotropical,1,,,
699,Coccinellidae,Chilocorinae,"Chilocorinae Mulsant, 1846","Nearctic
Oriental","42
24",,,
700,Coccinellidae,Coccidulinae,"Novius cruentatus Mulsant, 1846",Palearctic,9,,,
701,Coccinellidae,Coccinellinae,"Adalia Mulsant, 1846",Neotropical,2,,,
702,Coccinellidae,Coccinellinae,"Anatis Mulsant, 1846",Nearctic,81,,,
703,Coccinellidae,Scymninae,"Scymnus apetzi Mulsant, 1846",Palearctic,56,,,
704,Coccinellidae,Scymninae,"Scymnus fulvicollis Mulsant, 1846",Palearctic,2,,,
705,Coccinellidae,Coccinellinae,"Propylea Mulsant, 1846",,,,,
706,Coccinellidae,Coccinellinae,"Egleis edwardsii Mulsant, 1850",Australian,2,,,
707,Coccinellidae,Coccinellinae,"Eriopis eschscholtzi Mulsant, 1850",Neotropical,4,,,
708,Coccinellidae,Coccinellinae,"Coccinella trifasciata perplexa Mulsant, 1850",Nearctic,40,,,
709,Coccinellidae,Coccinellinae,"Oenopia kirbyi Mulsant, 1850",Oriental,6,,,
710,Coccinellidae,Coccinellinae,"Cydonia triangulifera Mulsant, 1850",Afrotropical,2,,,
711,Coccinellidae,Coccinellinae,"Dysis bisquatuorguttata Mulsant, 1850",Afrotropical,4,,,
712,Coccinellidae,Coccinellinae,"Coelophora circumusta Mulsant, 1850",Oriental,5,,,
713,Coccinellidae,Coccinellinae,"Coelophora duvaucelii Mulsant, 1850",Oriental,6,,,
714,Coccinellidae,Coccinellinae,"Coelophora melanota Mulsant, 1850",Oriental,5,,,
715,Coccinellidae,Coccinellinae,"Eriopis Mulsant, 1850",Neotropical,29,,,
716,Coccinellidae,Scymninae,"Thalassa montezumae Mulsant, 1850",Nearctic,10,,,
717,Coccinellidae,Scymninae,"Nephus kiesenwetteri Mulsant, 1850","Palearctic=3
unknown","7
2",,,
718,Coccinellidae,Scymninae,"Cryptognatha Mulsant, 1850",Neotropical,1,,,
719,Coccinellidae,Scymninae,"Scymnus (Pullus) tenebrosus Mulsant, 1850",Nearctic,1,,,
720,Coccinellidae,Scymninae,"Scymnus (Pullus) tenebrosus Mulsant, 1850",Nearctic,48,,,
721,Coccinellidae,Scymninae,"Brachiacantha lepida Mulsant, 1850",Neotropical,12,,,
722,Coccinellidae,Scymninae,"Brachiacantha sellata Mulsant, 1850",Neotropical,2,,,
723,Coccinellidae,Coccinellinae,"Oenopia cinctella Mulsant, 1850",Nearctic,3,,,
724,Coccinellidae,Scymninae,"Cyrea novemsignata Mulsant, 1850",Neotropical,4,,,
725,Coccinellidae,Coccinellinae,"Coccinella lucasii Mulsant, 1850",Neotropical,1,,,
726,Coccinellidae,Coccinellinae,"Coccinella monticola Mulsant, 1850",Nearctic,9,,,
727,Coccinellidae,Coccinellinae,"Coccinella monticola Mulsant, 1850",Nearctic,55,,,
728,Coccinellidae,Coccinellinae,"Coccinella eryngii Mulsant, 1850","
Neotropical","
26",,,
729,Coccinellidae,Coccinellinae,"Coccinella withi Mulsant, 1850",Palearctic,2,,,
730,Coccinellidae,Coccinellinae,"Coccinellina emarginata Mulsant, 1850",Neotropical,23,,,
731,Coccinellidae,Coccinellinae,"Hippodamia glacialis lecontei Mulsant, 1850",Nearctic,20,,,
732,Coccinellidae,Coccinellinae,"Naemia seriata litigiosa Mulsant, 1850",Nearctic,2,,,
733,Coccinellidae,Coccinellinae,"Neohalyzia perroudi Mulsant, 1850",Neotropical,21,,,
734,Coccinellidae,Coccinellinae,"Psyllobora nana Mulsant, 1850",Neotropical,8,,,
735,Coccinellidae,Coccinellinae,"Psyllobora decipiens Mulsant, 1850","Neotropical
unknown","10
1",,,
736,Coccinellidae,Coccinellinae,"Psyllobora lata Mulsant, 1850",Neotropical,1,,,
737,Coccinellidae,Coccinellinae,"Psyllobora lenta Mulsant, 1850",Neotropical,8,,,
738,Coccinellidae,Coccinellinae,"Psyllobora hybrida Mulsant, 1850",unknown,2,,,
739,Coccinellidae,Coccinellinae,"Psyllobora luctuosa Mulsant, 1850",Neotropical,9,,,
740,Coccinellidae,Coccinellinae,"Psyllobora punctella Mulsant, 1850",Neotropical,6,,,
