ecatalogue_key,IdeFiledAsFamily,IdeFiledAsSubfamily,DarScientificName,LotRegion_tab,LotNoOfSpecimens_tab,LotPrimaryType,LotSyntypes,LotParatypes
827,Coccinellidae,Coccinellinae,"Coccinella undecimpunctata menetriesi Mulsant, 1850",Palearctic,14,,,
828,Coccinellidae,Scymninae,"Brachiacantha pygidialis Mulsant, 1851",Neotropical,1,,,
829,Coccinellidae,Scymninae,"Cryptolaemus montrousieri Mulsant, 1853","Nearctic
Palearctic
Australian
Pacific","13
4
9
33",,,
830,Coccinellidae,Scymninae,"Hyperaspis troglodytes Mulsant, 1853",Nearctic,2,,,
831,Coccinellidae,Coccinellinae,"Halyzia sanscrita Mulsant, 1853",Oriental,3,,,
832,Coccinellidae,Scymninae,"Scymnus pallidivestis Mulsant, 1853","Oriental
Palearctic","10
5",,,
833,Coccinellidae,Chilocorinae,"Chilocorus cerberus Mulsant, 1853",Oriental,10,,,
834,Coccinellidae,Chilocorinae,"Exochomus jourdani Mulsant, 1853",Neotropical,2,,,
835,Coccinellidae,Coccidulinae,"Rhyzobius forestieri Mulsant, 1853",Nearctic,2,,,
836,Coccinellidae,Coccinellinae,"Coelophora sexareata Mulsant, 1853",Oriental,6,,,
837,Coccinellidae,Coccinellinae,"Coccinella trifasciata var. eugenii Mulsant, 1866",Nearctic,22,,,
838,Coccinellidae,Coccinellinae,"Coccinella septempunctata brucki Mulsant, 1866","Oriental
Palearctic","140
67",,,
839,Coccinellidae,Coccinellinae,"Psyllobora foliacea Mulsant, 1866",Neotropical,7,,,
840,Coccinellidae,Coccinellinae,"Psyllobora simplex Mulsant, 1866",Oriental,6,,,
841,Coccinellidae,Coccinellinae,"Oenopia sauzeti Mulsant, 1866","Oriental
Palearctic","2
1",,,
842,Coccinellidae,Coccinellinae,"Adalia luteopicta Mulsant, 1866",Oriental,5,,,
843,Coccinellidae,Coccinellinae,"Coccinella eugenii Mulsant, 1866",Nearctic,1,,,
844,Coccinellidae,Coccinellinae,"Coelophora victoriae Mulsant, 1866",Oriental,4,,,
845,Coccinellidae,Coccinellinae,"Olla v-nigrum Mulsant, 1866","Nearctic
Neotropical","232
9",,,
846,Coccinellidae,Coccinellinae,"Propylaea feliciae Mulsant, 1866",Palearctic,2,,,
847,Coccinellidae,Epilachninae,"Epilachna clandestina Mulsant, 1950",Neotropical,13,,,
848,Coccinellidae,Epilachninae,"Epilachna compilata Mulsant, 1950",Afrotropical,8,,,
849,Coccinellidae,Epilachninae,"Epilachna concolor Mulsant, 1950",Neotropical,1,,,
850,Coccinellidae,Epilachninae,"Epilachna consularis Mulsant, 1950",Afrotropical,4,,,
851,Coccinellidae,Epilachninae,"Epilachna cruciata Mulsant, 1950",Neotropical,17,,,
852,Coccinellidae,Scymninae,"Scymnus impexus Mulsant, 1950","unknown
Palearctic","2
5",,,
853,Coccinellidae,Coccinellinae,"Coccinella hieroglyphica humboldtiensis Nunenmacher, 1912",Nearctic,2,,,
854,Coccinellidae,Coccinellinae,"Coccinella prolongata bridwelli Nunenmacher, 1913",Nearctic,1,,,
855,Coccinellidae,Coccinellinae,"Adalia decempunctata octopunctata O. F. Müller, 1776",Palearctic,6,,,
856,Coccinellidae,Coccinellinae,"Eriopis chilensis O. Hofmann, 1970",Neotropical,16,,,
857,Coccinellidae,Coccinellinae,"Eriopis minima O. Hofmann, 1970",Neotropical,21,,,
858,Coccinellidae,Coccinellinae,"Eriopis andina andina O. Hofmann, 1970",Neotropical,10,,,
859,Coccinellidae,Coccinellinae,"Eriopis andina O. Hofmann, 1970",Neotropical,1,,,
860,Coccinellidae,Coccinellinae,"Eriopis punicola O. Hofmann, 1970",Neotropical,1,,,
861,Coccinellidae,Coccinellinae,Adalia macularis Oliver,unknown,2,,,
862,Coccinellidae,Coccinellinae,"Cyrtocaria regalis Olivier, 1808",Afrotropical,4,,,
863,Coccinellidae,Coccinellinae,"Coccinella divaricata Olivier, 1808",Oriental,7,,,
864,Coccinellidae,Coccinellinae,"Adalia decempunctata lutea P. Rossi, 1794",Palearctic,3,,,
865,Coccinellidae,Coccidulinae,Lithophilus peyerimhoffi Pic,Palearctic,2,,,
866,Coccinellidae,Coccinellinae,"Vibidia duodecimguttata Poda, 1761",Neotropical,1,,,
867,Coccinellidae,Coccinellinae,"Harmonia quadripunctata Pontoppidan, 1763",Palearctic,92,,,
868,Coccinellidae,Coccinellinae,"Adalia signifera Reiche, 1850",Afrotropical,2,,,
869,Coccinellidae,Coccinellinae,"Coccinella undecimpunctata aegyptiaca Reiche, 1861",Palearctic,13,,,
870,Coccinellidae,Coccinellinae,"Coccinella undecimpunctata aegyptiaca Reiche, 1861",,,,,
871,Coccinellidae,Coccidulinae,"Lithophilus nigripennis Reitter, 1891",Palearctic,2,,,
872,Coccinellidae,Coccidulinae,"Lithophilus cordatus Rosenhauer, 1856",Palearctic,4,,,
873,Coccinellidae,Coccinellinae,Neda abdominalis Say,Nearctic,6,,,
874,Coccinellidae,Scymninae,"Hyperaspis trifurcata Schaeffer, 1905",Nearctic,13,,,
875,Coccinellidae,Scymninae,"Brachiacantha arizonica Schaeffer, 1908",Nearctic,1,,,
876,Coccinellidae,Scymninae,"Hyperaspis weisei Schaeffer, 1908",Nearctic,1,,,
877,Coccinellidae,Coccinellinae,"Adalia decempunctata humeralis Schaller, 1783",Palearctic,7,,,
878,Coccinellidae,Coccinellinae,"Hippodamia undecimnotata Schneider, 1792",Palearctic,26,,,
879,Coccinellidae,Coccinellinae,"Adalia intermedia Schneider, 1881",Afrotropical,6,,,
880,Coccinellidae,Coccinellinae,Micraspis striata ab. hamata Schönherr,Afrotropical,8,,,
881,Coccinellidae,Coccinellinae,"Adalia decempunctata subpunctata Schrank, 1781",Palearctic,3,,,
882,Coccinellidae,Scymninae,"Hyperaspis paludicola Schwarz, 1878",Nearctic,1,,,
883,Coccinellidae,Scymninae,"Brachiacantha querceti Schwarz, 1878",Nearctic,37,,,
884,Coccinellidae,Scymninae,Thea parenthesis Sciuras,unknown,4,,,
885,Coccinellidae,Coccinellinae,"Halyzia tschitscherini Semenov, 1895",Palearctic,2,,,
886,Coccinellidae,Scymninae,Nephus redtenbacheri var. africanus Sicard,Afrotropical,2,,,
887,Coccinellidae,Coccinellinae,Coccinella doberoi Sicard,Neotropical,1,,,
888,Coccinellidae,Epilachninae,Epilachna tenuipicta Sicard,Afrotropical,1,,,
889,Coccinellidae,Sticholotidinae,"Pharoscymnus madegassus Sicard, 1909",Afrotropical,6,,,
890,Coccinellidae,Sticholotidinae,"Pharoscymnus ovoideus Sicard, 1929",Palearctic,2,,,
891,Coccinellidae,Chilocorinae,"Chilocorus kuwanae Silvestri, 1909",Oriental,14,,,
892,Coccinellidae,Coccinellinae,"Monocoryna nicolebertiae Slipinski & Jadwiszczak, 2000",Oriental,1,,,
893,Coccinellidae,Coccinellinae,"Monocoryna philippinensis Slipinski & Jadwiszczak, 2000",Oriental,1,,,
894,Coccinellidae,Coccidulinae,"Rhyzobius Stephens, 1832","Australian
Palearctic","14
45",,,
895,Coccinellidae,Scymninae,"Scymnus immaculatus immaculatus Suffrian, 1843",Palearctic,2,,,
896,Coccinellidae,Epilachninae,"Epilachna undulata Thunberg, 1781",Afrotropical,1,,,
897,Coccinellidae,Coccinellinae,"Propylaea japonica Thunberg, 1781",Palearctic,5,,,
898,Coccinellidae,Coccinellinae,"Propylaea japonica Thunberg, 1781",Oriental,6,,,
899,Coccinellidae,Coccinellinae,"Synonycha grandis Thunberg, 1781",Oriental,26,,,
900,Coccinellidae,Coccinellinae,"Verania comma Thunberg, 1781",unknown,6,,,
901,Coccinellidae,Scymninae,"Scymnus saturalis Thunberg, 1795",Palearctic,7,,,
902,Coccinellidae,Scymninae,"Scymnus suturalis Thunberg, 1795",Palearctic,31,,,
903,Coccinellidae,Coccinellinae,"Anisosticta strigata Thunberg, 1795",Nearctic,3,,,
904,Coccinellidae,Scymninae,"Scymnus auritus Thunberg, 1795","Palearctic
unknown","33
5",,,
905,Coccinellidae,Coccinellinae,"Hippodamia washingtoni Timberlake, 1839",Nearctic,109,,,
906,Coccinellidae,Coccinellinae,"Coleomegilla Timberlake, 1920","Nearctic
Neotropical","8
16",,,
907,Coccinellidae,Coccinellinae,"Hippodamia koebelei Timberlake, 1942",Nearctic,1,,,
908,Coccinellidae,,"Paraneda Timberlake, 1942",Neotropical,1,,,
909,Coccinellidae,Coccinellinae,"Coleomegilla maculata lengi Timberlake, 1943",Nearctic,15,,,
910,Coccinellidae,Coccinellinae,"Pseudadonia chiliana Timberlake, 1943",Neotropical,2,,,
911,Coccinellidae,Coccinellinae,"Olla timberlakei Vandenberg, 1992",Neotropical,1,,,
912,Coccinellidae,Coccinellinae,"Coccinella magnifica W. Redtenbacher, 1843",Palearctic,9,,,
913,Coccinellidae,Coccinellinae,Psyllobora blanda Weise,Afrotropical,2,,,
914,Coccinellidae,Epilachninae,Epilachna borealis ab. discincta Weise,Neotropical,1,,,
915,Coccinellidae,Sticholotidinae,Sticholotis testacea Weise,Oriental,7,,,
916,Coccinellidae,Coccinellinae,Alesia gorhami Weise,Afrotropical,1,,,
917,Coccinellidae,Scymninae,Scymnus holtmanni Weise,Palearctic,2,,,
918,Coccinellidae,Ortaliinae,"Ortalia pallens Weise, 1850","Neotropical
Afrotropical","7
1",,,
919,Coccinellidae,Scymninae,"Hyperaspis transversoguttata Weise, 1878",Nearctic,1,,,
920,Coccinellidae,Scymninae,"Nephus ludyi Weise, 1879",Palearctic,1,,,
921,Coccinellidae,Scymninae,"Nephus nigricans Weise, 1879",Palearctic,3,,,
922,Coccinellidae,Coccinellinae,"Harmonia quadripunctata sordida Weise, 1879",Palearctic,1,,,
923,Coccinellidae,Coccinellinae,"Aphidecta fenestrata Weise, 1879",Palearctic,1,,,
924,Coccinellidae,Coccinellinae,"Harmonia quadripunctata nebulosa Weise, 1879",Palearctic,17,,,
925,Coccinellidae,Scymninae,"Stethorus Weise, 1885",Nearctic,7,,,
926,Coccinellidae,Chilocorinae,"Exochomus semenovi Weise, 1887",Palearctic,7,,,
927,Coccinellidae,Coccinellinae,"Lioadalia sommeri var. Pipitzi Weise, 1888",Afrotropical,1,,,
928,Coccinellidae,Epilachninae,"Epilachna villica Weise, 1888",Afrotropical,1,,,
929,Coccinellidae,Epilachninae,"Epilachna discineta Weise, 1890",Neotropical,4,,,
930,Coccinellidae,Coccinellinae,"Anegleis cardoni Weise, 1892",Oriental,6,,,
931,Coccinellidae,Ortaliinae,"Ortalia pusilla Weise, 1895",Oriental,10,,,
932,Coccinellidae,Sticholotidinae,"Scotoscymnus Weise, 1897",Neotropical,6,,,
933,Coccinellidae,Coccidulinae,"Coccidula suturalis Weise, 1897",Nearctic,2,,,
934,Coccinellidae,Coccinellinae,"Adalia sexareata Weise, 1897",Afrotropical,5,,,
935,Coccinellidae,Coccinellinae,"Alesia usambarica Weise, 1897",unknown,3,,,
936,Coccinellidae,Epilachninae,"Epilachna hedwiga Weise, 1897",unknown,1,,,
937,Coccinellidae,Epilachninae,"Epilachna misella Weise, 1897",Afrotropical,10,,,
938,Coccinellidae,Chilocorinae,"Chilocorus calvus Weise, 1898",Afrotropical,14,,,
939,Coccinellidae,Epilachninae,"Epilachna maga Weise, 1898",Afrotropical,2,,,
940,Coccinellidae,Epilachninae,"Merma spilota Weise, 1898",Pacific,21,,,
941,Coccinellidae,Epilachninae,"Epilachna imitata Weise, 1899",unknown,1,,,
942,Coccinellidae,Coccinellinae,"Dysis orientalis Weise, 1900",Afrotropical,5,,,
943,Coccinellidae,Chilocorinae,"Chilocorus  tibialis Weise, 1900",Afrotropical,3,,,
944,Coccinellidae,Epilachninae,"Toxotoma Weise, 1900",Neotropical,16,,,
945,Coccinellidae,Scymninae,"Cryptogonus orbiculus ab. japonicus Weise, 1900",Oriental,9,,,
946,Coccinellidae,Sticholotidinae,Sticholotidini,Oriental,2,,,
947,Coccinellidae,Scymninae,"Cryptolaemus concinnus Weise, 1902",Oriental,10,,,
948,Coccinellidae,Epilachninae,"Henosepilachna antiqua Weise, 1903",Pacific,10,,,
949,Coccinellidae,Coccinellinae,"Mulsantina Weise, 1906",Nearctic,18,,,
950,Coccinellidae,Chilocorinae,"Chilocorus insularis Weise, 1906",Afrotropical,1,,,
951,Coccinellidae,Coccinellinae,"Megillina voeltzkowi Weise, 1909",Afrotropical,3,,,
952,Coccinellidae,Chilocorinae,"Exochomus laeviusculus Weise, 1909",Afrotropical,16,,,
953,Coccinellidae,Coccinellinae,"Declivitata kibonotensis Weise, 1910",Afrotropical,8,,,
954,Coccinellidae,Coccinellinae,"Alesia trilineata Weise, 1910",Afrotropical,1,,,
955,Coccinellidae,Coccinellinae,"Coelophora mitis Weise, 1912",Australian,1,,,
956,Coccinellidae,Sticholotidinae,"Serangium spilotum Weise, 1913",Oriental,1,,,
957,Coccinellidae,Coccinellinae,"Coccinula elegantula Weise, 1980",,,,,
958,Coccinellidae,Scymninae,"Scymnus (Pullus) nemorivagus Wingo, 1952",Nearctic,2,,,
959,Coccinellidae,Scymninae,"Scymnus (Pullus) majusculus Wingo, 1952",Nearctic,1,,,
960,Coccinellidae,Coccinellinae,"Coccinella miranda Wollaston, 1864",Palearctic,6,,,
961,Coccinellidae,Chilocorinae,"Exochomus melanocephalus Zubkov, 1833",Afrotropical,23,,,
962,Coccinellidae,Coccinellinae,Dysis quadrilineata,Afrotropical,5,,,
963,Coccinellidae,Coccinellinae,Cydonia angulifera,Afrotropical,3,,,
964,Coccinellidae,Scymninae,Clitostethus arcuatus hausmanni,Palearctic,5,,,
965,Coccinellidae,Scymninae,Hyperaspis undulata pubescens,Nearctic,1,,,
966,Coccinellidae,Epilachninae,Epilachna octodemipunctata,Australian,1,,,
967,Coccinellidae,Coccinellinae,Coelophora areata,Oriental,2,,,
968,Coccinellidae,Coccinellinae,Psyllobora costhnuai,Neotropical,4,,,
969,Coccinellidae,Coccinellinae,Micraspis freremnsis,Afrotropical,5,,,
970,Coccinellidae,Coccinellinae,Hippodamia apicalis/apicaliscomplex,Nearctic,2,,,
971,Coccinellidae,Coccinellinae,Anisolemnia distigma,Afrotropical,3,,,
972,Coccinellidae,Coccinellinae,Myrrha lewesi,Oriental,2,,,
973,Coccinellidae,Epilachninae,Epilachna argentata,Afrotropical,1,,,
974,Coccinellidae,Epilachninae,Epilachna meurneusis,Afrotropical,2,,,
975,Coccinellidae,Epilachninae,Epilachna nigrit obscuricollis,Afrotropical,10,,,
976,Coccinellidae,Epilachninae,Epilachna ruralis,Neotropical,1,,,
977,Coccinellidae,Epilachninae,Epilachna v. virgulata,Oriental,10,,,
978,Coccinellidae,Epilachninae,Epilachna octodemipunctata,Australian,1,,,
979,Coccinellidae,Epilachninae,Epilachna borealis ab. immaculicollis,Neotropical,4,,,
980,Coccinellidae,Scymninae,Scymnus (Pullus) coniferarum,Nearctic,16,,,
981,Coccinellidae,Coccinellinae,Coccinella sinnatomarginata,Palearctic,13,,,
982,Coccinellidae,Coccinellinae,Coccinella duodecimpunctata,Palearctic,6,,,
983,Coccinellidae,Coccinellinae,Cheilomenes quinquemaculata,Oriental,9,,,
