id,institutionCode,collectionCode,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,individualCount,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
36262770,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia convergens,27393,"Guérin-Méneville, 1842",Hippodamia,convergens,,,N. D. Blackburn,,,,7/11/1931,1931,7,11,192,,1931-07-11/1931-07-20,1,United States,Ohio,Ottawa,Put-in-Bay,South Bass Island,,0,,41.654216,-82.820743,WGS84,3036,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 16:19,,126,urn:uuid:3e22c1fe-6f56-45c9-8516-10e495a79096,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262770
36262771,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia convergens,27393,"Guérin-Méneville, 1842",Hippodamia,convergens,,,N. D. Blackburn,,,,6/20/1931,1931,6,20,171,,1931-06-20/1931-06-30,1,United States,Ohio,Ottawa,,Kelley's Island,,0,,41.604215,-82.707404,WGS84,3620,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 16:19,,126,urn:uuid:aa1f917a-c9cc-41f0-b332-08d509ea892b,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262771
36262772,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia convergens,27393,"Guérin-Méneville, 1842",Hippodamia,convergens,,,N. D. Blackburn,,,,7/1/1931,1931,7,1,182,,1931-07-01/1931-07-10,1,United States,Ohio,Ottawa,,Middle Bass Island,,0,,41.683453,-82.808383,WGS84,3036,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 16:19,,126,urn:uuid:d042bed9-a2ce-4386-93dc-0eec41f91dfd,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262772
36262773,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia convergens,27393,"Guérin-Méneville, 1842",Hippodamia,convergens,,,N. D. Blackburn,,,,6/20/1931,1931,6,20,171,,1931-06-20/1931-06-30,1,United States,Ohio,Ottawa,Put-in-Bay,South Bass Island,,0,,41.654216,-82.820743,WGS84,3036,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 16:19,,126,urn:uuid:43e4b816-7ca7-48f2-bd4d-d899ce8508ed,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262773
36262784,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia convergens,27393,"Guérin-Méneville, 1842",Hippodamia,convergens,,,Jim Steinke,,,,1963-00-00,1963,0,0,,,Tue Sep 10 00:00:00 EDT 1963,1,United States,Ohio,Van Wert,Van Wert,Van Wert,Van Wert Co.,0,,,,WGS84,,,,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 16:19,,126,urn:uuid:77bc2862-b77c-424e-800e-60b631bcf971,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262784
36262845,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia parenthesis,27400,"(Say, 1824)",Hippodamia,parenthesis,,,N. D. Blackburn,,,,7/11/1931,1931,7,11,192,,1931-07-11/1931-07-20,1,United States,Ohio,Ottawa,,Middle Bass Island,,0,,41.683453,-82.808383,WGS84,3036,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 16:19,,126,urn:uuid:d8240221-df49-4e91-a8c7-22451c5c5934,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262845
36262970,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia trodecimpunctata,,"(LInnaeus, 1758)",,,,,N. D. Blackburn,,,,6/20/1937,1937,6,20,171,,1937-06-20/1937-06-30,1,United States,Ohio,Ottawa,,Kelley's Island,,0,,41.604215,-82.707404,WGS84,3620,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 15:14,,126,urn:uuid:28c673a9-a9c9-4fed-8bf8-e0a30875f7ec,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262970
36262971,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia trodecimpunctata,,"(LInnaeus, 1758)",,,,,N. D. Blackburn,,,,7/1/1931,1931,7,1,182,,1931-07-01/1937-07-10,1,United States,Ohio,Ottawa,,Kelley's Island,,0,,41.604215,-82.707404,WGS84,3620,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 15:14,,126,urn:uuid:8c9f6bf9-99b0-4e1b-9cfa-57526e230ec7,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262971
36262972,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia trodecimpunctata,,"(LInnaeus, 1758)",,,,,N. D. Blackburn,,,,7/1/1931,1931,7,1,182,,1931-07-01/1937-07-10,1,United States,Ohio,Ottawa,,Kelley's Island,,0,,41.604215,-82.707404,WGS84,3620,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 15:14,,126,urn:uuid:4ab5066e-0d0f-44b8-8de9-1a25a1078e41,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262972
36262973,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia trodecimpunctata,,"(LInnaeus, 1758)",,,,,N. D. Blackburn,,,,7/11/1931,1931,7,11,192,,1931-07-11/1931-07-20,1,United States,Ohio,Ottawa,,Kelley's Island,,0,,41.604215,-82.707404,WGS84,3620,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 15:14,,126,urn:uuid:f3ed07ba-fb4b-4638-8dda-73464ae354eb,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262973
36262974,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia trodecimpunctata,,"(LInnaeus, 1758)",,,,,N. D. Blackburn,,,,7/11/1931,1931,7,11,192,,1931-07-11/1931-07-20,1,United States,Ohio,Ottawa,,Kelley's Island,,0,,41.604215,-82.707404,WGS84,3620,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 15:14,,126,urn:uuid:db898388-b975-44a3-b3ae-b532522a11ea,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262974
36262975,PSUC,ENTO,Coleoptera,Coccinellidae,Hippodamia trodecimpunctata,,"(LInnaeus, 1758)",,,,,N. D. Blackburn,,,,7/11/1931,1931,7,11,192,,1931-07-11/1931-07-20,1,United States,Ohio,Ottawa,,Kelley's Island,,0,,41.604215,-82.707404,WGS84,3620,,https://orcid.org/0000-0002-2119-4663,https://doi.org/10.18113/S1964W,,,,,,,,,,,,,11/28/2018 15:14,,126,urn:uuid:c46b9425-96f0-417c-bdbb-4d16750253aa,http://scan-bugs.org/portal/collections/individual/index.php?occid=36262975
