id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3798846,CAS,ENT,,PreservedSpecimen,d623337d-018e-4fcd-bff1-fb5d1de107d4,8427585,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,Koebele,,,,,,,Koebele,,,,,,,,,,,"Nunenmacher Collection, Koebele V1. 03",,,,,,,,,,,,Adult,Male,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:49:12",,3,urn:uuid:d623337d-018e-4fcd-bff1-fb5d1de107d4,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798846
3798847,CAS,ENT,,PreservedSpecimen,ef9e5703-5805-4dd6-a37b-50c7c14f1b87,8427586,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"A. Koebele",,,,,,,"A. Koebele",,,,,,,,,,,"Nunenmacher Collection, Columbus V11. 03.Ohio",,,,,,,,,,,,Adult,Male,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:44:59",,3,urn:uuid:ef9e5703-5805-4dd6-a37b-50c7c14f1b87,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798847
3799644,CAS,ENT,,PreservedSpecimen,34b12b83-3dc3-48dc-a27e-89b50ce070ed,8416801,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"W. C. Stehr",4-7-1932,,,,,,"W. C. Stehr",,,,1932-04-07,1932,4,7,98,,4-7-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:01:27",,3,urn:uuid:34b12b83-3dc3-48dc-a27e-89b50ce070ed,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799644
3799645,CAS,ENT,,PreservedSpecimen,89121f7c-c31a-42e4-ad7c-f2bc68f0f311,8416802,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"W. C. Stehr",10-24-1930,,,,,,"W. C. Stehr",,,,1930-10-24,1930,10,24,297,,10-24-1930,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:01:56",,3,urn:uuid:89121f7c-c31a-42e4-ad7c-f2bc68f0f311,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799645
3799646,CAS,ENT,,PreservedSpecimen,07d8ca93-26e2-4824-b8b9-3dbe27bec8c4,8416803,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"W. C. Stehr",10-29-1930,,,,,,"W. C. Stehr",,,,1930-10-29,1930,10,29,302,,10-29-1930,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:01:11",,3,urn:uuid:07d8ca93-26e2-4824-b8b9-3dbe27bec8c4,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799646
3799647,CAS,ENT,,PreservedSpecimen,e6388aa4-789e-4eb4-8ecd-e75ffa551229,8416804,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"W. C. Stehr",5-15-1932,,,,,,"W. C. Stehr",,,,1932-05-15,1932,5,15,136,,05-15-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:04:58",,3,urn:uuid:e6388aa4-789e-4eb4-8ecd-e75ffa551229,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799647
3799648,CAS,ENT,,PreservedSpecimen,e5310ebc-8183-45d3-9b94-f63c0e527354,8416805,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"W. C. Stehr",05-15-1931,,,,,,"W. C. Stehr",,,,1931-05-15,1931,5,15,135,,05-15-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:06:36",,3,urn:uuid:e5310ebc-8183-45d3-9b94-f63c0e527354,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799648
3799649,CAS,ENT,,PreservedSpecimen,573f6704-604e-4ea2-85b8-9de6fd4ecf56,8416806,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"W. C. Stehr",10-24-1930,,,,,,"W. C. Stehr",,,,1930-10-24,1930,10,24,297,,10-24-1930,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:11:03",,3,urn:uuid:573f6704-604e-4ea2-85b8-9de6fd4ecf56,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799649
3799650,CAS,ENT,,PreservedSpecimen,02ed6f1b-9f82-42d8-a50c-9114ecc8fb70,8416807,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"A. J. Basinger",00-15-1916,,,,,,"A. J. Basinger",,,,1916-00-15,1916,,15,,,00-15-1916,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:14:56",,3,urn:uuid:02ed6f1b-9f82-42d8-a50c-9114ecc8fb70,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799650
3799651,CAS,ENT,,PreservedSpecimen,28f67675-1d99-409e-8483-a66a42261b5a,8416808,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"A. Koebele",,,,,,,"A. Koebele",,,,0000-00-00,1916,,15,,,,"Nunenmacher Collection, Koebele V11.03.Ohio, Hippodamia Parenth.AB.LituricollisFitch.",,,,,,,,,,,,Adult,Male,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:25:03",,3,urn:uuid:28f67675-1d99-409e-8483-a66a42261b5a,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799651
3799652,CAS,ENT,,PreservedSpecimen,8a8a02ce-3dbf-4c9d-a46e-c6cadd22679d,8416809,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia parenthesis",141712,"(Say, 1824)",Hippodamia,parenthesis,,,"H. R. Dodge",7/26/1933,,,,,,"H. R. Dodge",,,,1933-07-26,1933,7,26,207,,7/26/1933,"Nunenmacher Collection",,,,,,,,,,,,Adult,Male,1,,,Pinned,USA,Ohio,Ashtabula,Andover,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 11:58:35",,3,urn:uuid:8a8a02ce-3dbf-4c9d-a46e-c6cadd22679d,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799652
3799653,CAS,ENT,,PreservedSpecimen,54ce82e4-e8f2-44b1-9022-26cef76507bc,8416810,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Mulsantina picta",138700,"(Randall, 1838)",Mulsantina,picta,,,"J. N. Knull",,,,,,,"J. N. Knull",,,,0000-00-00,,,,,,,"O. Bryant Collection, J. N. Knull Coll, Det. J. B. Chapin, Ohio 10-34",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:03:54",,3,urn:uuid:54ce82e4-e8f2-44b1-9022-26cef76507bc,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799653
3799654,CAS,ENT,,PreservedSpecimen,474bb0a9-50e2-4ece-9c75-019f5c703751,8416811,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Mulsantina picta",138700,"(Randall, 1838)",Mulsantina,picta,,,"J. N. Knull",,,,,,,"J. N. Knull",,,,0000-00-00,,,,,,,"F.T. Scott Collection 1978, J. N. Knull Coll, Det. J. B. Chapin 1984, Ohio 10-34",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:09:34",,3,urn:uuid:474bb0a9-50e2-4ece-9c75-019f5c703751,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799654
3799655,CAS,ENT,,PreservedSpecimen,5d50ac65-5ded-4abc-9404-ed668e194aaf,8416812,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Mulsantina picta",138700,"(Randall, 1838)",Mulsantina,picta,,,"J. N. Knull",,,,,,,"J. N. Knull",,,,0000-00-00,,,,,,,"F.T. Scott Collection 1978, J. N. Knull Coll, Det. J. B. Chapin 1984, Ohio 10-34",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:12:13",,3,urn:uuid:5d50ac65-5ded-4abc-9404-ed668e194aaf,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799655
3799656,CAS,ENT,,PreservedSpecimen,4bda8454-bf97-4242-a048-9c26cc7ac1dd,8416813,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Mulsantina picta",138700,"(Randall, 1838)",Mulsantina,picta,,,"J. N. Knull",,,,,,,"J. N. Knull",,,,0000-00-00,,,,,,,"F.T. Scott Collection 1978, J. N. Knull Coll, Det. J. B. Chapin 1984, Ohio 10-34",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:13:27",,3,urn:uuid:4bda8454-bf97-4242-a048-9c26cc7ac1dd,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799656
3799657,CAS,ENT,,PreservedSpecimen,e6aa8c65-0c9e-43ef-8947-baa85db9bd3b,8416814,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Mulsantina picta",138700,"(Randall, 1838)",Mulsantina,picta,,,"J. N. Knull",,,,,,,"J. N. Knull",,,,0000-00-00,,,,,,,"F.T. Scott Collection 1978, J. N. Knull Coll, Det. J. B. Chapin 1984, Ohio 10-34",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:14:57",,3,urn:uuid:e6aa8c65-0c9e-43ef-8947-baa85db9bd3b,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799657
3799658,CAS,ENT,,PreservedSpecimen,53ff41ec-6c2c-4945-9333-f0ea0afac87e,8416815,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,"A. Koebele",,,,,,,"A. Koebele",,,,0000-00-00,,,,,,,"Nunenmacher Collection, Columbus V1.02 Ohio, A. Koebele",,,,,,,,,,,,Adult,Female,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:45:26",,3,urn:uuid:53ff41ec-6c2c-4945-9333-f0ea0afac87e,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799658
3799659,CAS,ENT,,PreservedSpecimen,48571719-2c15-425b-9126-a3565c8f7e1e,8416816,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,,5/16/1934,,,,,,,,,,1934-05-16,1934,5,16,136,,"May 16, 1934","E. S. Ross Collection, Rock Creek O, Ashtabula Co., May 16,1934",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Astabula,,"Rock Creek O.",,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:50:07",,3,urn:uuid:48571719-2c15-425b-9126-a3565c8f7e1e,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799659
3799660,CAS,ENT,,PreservedSpecimen,0660603d-e2f8-4728-9146-8638f5120c7f,8416817,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,,6/10/1934,,,,,,,,,,1934-06-10,1934,6,10,161,,"June 10, 1934","E. S. Ross Collection, Geneva Twp-along beach at Chestnut Grove, Ashtabula Co., June 10,1934",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Astabula,,"Geneva Twp-along beach at Chestnut Grove",,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:52:52",,3,urn:uuid:0660603d-e2f8-4728-9146-8638f5120c7f,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799660
3799661,CAS,ENT,,PreservedSpecimen,79f68e58-e116-4aaa-bf71-44430a501028,8416818,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,"W. C. Stehr",7-2-1931,,,,,,"W. C. Stehr",,,,1931-07-02,1931,7,2,183,,7-2-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:55:39",,3,urn:uuid:79f68e58-e116-4aaa-bf71-44430a501028,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799661
3799662,CAS,ENT,,PreservedSpecimen,a53f6a18-42d5-420c-8947-62790a7ff906,8416819,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,"W. C. Stehr",7-4-1931,,,,,,"W. C. Stehr",,,,1931-07-04,1931,7,4,185,,7-4-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:57:15",,3,urn:uuid:a53f6a18-42d5-420c-8947-62790a7ff906,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799662
3799663,CAS,ENT,,PreservedSpecimen,67a47679-8be8-4202-afb8-a84af5019509,8416820,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,"W. C. Stehr",7-4-1931,,,,,,"W. C. Stehr",,,,1931-07-04,1931,7,4,185,,7-4-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 12:58:18",,3,urn:uuid:67a47679-8be8-4202-afb8-a84af5019509,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799663
3799664,CAS,ENT,,PreservedSpecimen,218be248-aabf-4846-9288-08a53e586477,8416821,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,"W. C. Stehr",7-5-1931,,,,,,"W. C. Stehr",,,,1931-07-05,1931,7,5,186,,7-5-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 13:04:35",,3,urn:uuid:218be248-aabf-4846-9288-08a53e586477,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799664
3799666,CAS,ENT,,PreservedSpecimen,39363d11-2a7c-4bda-94d3-c90e3b335007,8416823,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia tredecimpunctata tibialis",154435,"(Say, 1824)",Hippodamia,tredecimpunctata,,tibialis,"W. C. Stehr",7-4-1931,,,,,,"W. C. Stehr",,,,1931-07-04,1931,7,4,185,,7-4-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-11 13:04:14",,3,urn:uuid:39363d11-2a7c-4bda-94d3-c90e3b335007,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799666
3799813,CAS,ENT,,PreservedSpecimen,e684f2f9-d231-4559-9916-cb13fc84e902,8427587,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Myzia pullata",141726,"(Say, 1826)",Myzia,pullata,,,"W. C. Stehr",,,,,,,"W. C. Stehr",,"D.J. & J.N. Knull",,0000-00-00,,,,,,,"O. Bryant Collection, D.J. & J.N. Knull Collrs., 11205 Stehr, Hocking Co, X 2-38 O.",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Hocking,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 09:41:37",,3,urn:uuid:e684f2f9-d231-4559-9916-cb13fc84e902,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799813
3799814,CAS,ENT,,PreservedSpecimen,434f4077-afd0-48a0-b340-ee3cc1f45ba5,8427588,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Myzia pullata",141726,"(Say, 1826)",Myzia,pullata,,,"W. C. Stehr",,,,,,,"W. C. Stehr",,"Campbell Knull",,0000-00-00,,,,,,,"O. Bryant Collection, Campbell & Knull, 11205 Stehr, Hocking Co, 1X-7 O.",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Hocking,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 09:45:55",,3,urn:uuid:434f4077-afd0-48a0-b340-ee3cc1f45ba5,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799814
3799815,CAS,ENT,,PreservedSpecimen,356afae4-2770-4633-8ac7-810d4ab72706,8427587,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Neoharmonia venusta venusta",155434,"(Melsheimer, 1847)",Neoharmonia,venusta,,venusta,,,,,,,,,,,,,,,,,,,"Long Collection, Gift of Owen Bryant, Erie O, 6-27-5",,,,,,,,,,,,Adult,,3,,,Pinned,USA,Ohio,Erie,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 10:04:33",,3,urn:uuid:356afae4-2770-4633-8ac7-810d4ab72706,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799815
3799816,CAS,ENT,,PreservedSpecimen,87d8fdc6-fb65-4c9e-9407-12d7bf372631,8427590,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Chilocorus stigma",138299,"(Say, 1835)",Chilocorus,stigma,,,"W. C. Stehr",5-21-1932,,,,,,"W. C. Stehr",,,,1932-05-21,1932,5,21,142,,5-21-1932,"Armitage Collection, Chilcorus bivulnerus, Athens, Ohio 5-21 1932",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 10:54:37",,3,urn:uuid:87d8fdc6-fb65-4c9e-9407-12d7bf372631,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799816
3799817,CAS,ENT,,PreservedSpecimen,e30e251c-fe92-4c9a-865f-36b0c646b3d5,8427591,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Chilocorus stigma",138299,"(Say, 1835)",Chilocorus,stigma,,,"A. Koebele",,,,,,,"A. Koebele",,,,0000-00-00,1932,5,21,142,,,"Nunenmacher Collection, Columbus V1. 03 Ohio, A. Koebele Collector",,,,,,,,,,,,Adult,Male,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:13:39",,3,urn:uuid:e30e251c-fe92-4c9a-865f-36b0c646b3d5,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799817
3799818,CAS,ENT,,PreservedSpecimen,6d6e0fc9-234d-4121-8950-fff0c22e6d2a,8427592,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia quindecimmaculata",141718,"Mulsant, 1850",Hippodamia,quindecimmaculata,,,"R. H. Wolcott",7-8-1905,,,,,,"R. H. Wolcott",,,,1905-07-08,1905,7,8,189,,7-8-1905,"O. Bryant Collection, R. H. Wolcott, Sandusky O., July 8, 1905",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Erie,Sandusky,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:25:46",,3,urn:uuid:6d6e0fc9-234d-4121-8950-fff0c22e6d2a,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799818
3799819,CAS,ENT,,PreservedSpecimen,9200448f-6a6f-4a23-9446-a8ab38ef20b0,8427593,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Psyllobora vigintimaculata",141749,"(Say, 1824)",Psyllobora,vigintimaculata,,,"W. C. Stehr",5-22-1932,,,,,,"W. C. Stehr",,,,1932-05-22,1932,5,22,143,,5-22-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:32:35",,3,urn:uuid:9200448f-6a6f-4a23-9446-a8ab38ef20b0,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799819
3799820,CAS,ENT,,PreservedSpecimen,bc5daf23-2382-4f38-b6a6-848df6f0874f,8427594,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Psyllobora vigintimaculata",141749,"(Say, 1824)",Psyllobora,vigintimaculata,,,"W. C. Stehr",5-22-1932,,,,,,"W. C. Stehr",,,,1932-05-22,1932,5,22,143,,5-22-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:34:39",,3,urn:uuid:bc5daf23-2382-4f38-b6a6-848df6f0874f,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799820
3799821,CAS,ENT,,PreservedSpecimen,324db545-7cb5-4362-bce3-8508f7fc2140,8427595,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Psyllobora vigintimaculata",141749,"(Say, 1824)",Psyllobora,vigintimaculata,,,"W. C. Stehr",5-30-1932,,,,,,"W. C. Stehr",,,,1932-05-30,1932,5,30,151,,5-30-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:36:19",,3,urn:uuid:324db545-7cb5-4362-bce3-8508f7fc2140,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799821
3799822,CAS,ENT,,PreservedSpecimen,3dbccf7b-71bf-4ec1-b01c-a14a5378d392,8427596,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Psyllobora vigintimaculata",141749,"(Say, 1824)",Psyllobora,vigintimaculata,,,"W. C. Stehr",5-30-1932,,,,,,"W. C. Stehr",,,,1932-05-30,1932,5,30,151,,5-30-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:37:37",,3,urn:uuid:3dbccf7b-71bf-4ec1-b01c-a14a5378d392,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799822
3799823,CAS,ENT,,PreservedSpecimen,26a19986-3e89-4a15-b877-f09c2d641aad,8427597,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Psyllobora vigintimaculata",141749,"(Say, 1824)",Psyllobora,vigintimaculata,,,"W. C. Stehr",5-30-1932,,,,,,"W. C. Stehr",,,,1932-05-30,1932,5,30,151,,5-30-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:39:35",,3,urn:uuid:26a19986-3e89-4a15-b877-f09c2d641aad,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799823
3799824,CAS,ENT,,PreservedSpecimen,fdae424a-14e3-4e1e-aebd-f073a5bc90db,8427598,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Psyllobora vigintimaculata",141749,"(Say, 1824)",Psyllobora,vigintimaculata,,,"W. C. Stehr",5-22-1932,,,,,,"W. C. Stehr",,,,1932-05-22,1932,5,22,143,,5-22-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:42:05",,3,urn:uuid:fdae424a-14e3-4e1e-aebd-f073a5bc90db,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799824
3799825,CAS,ENT,,PreservedSpecimen,76a11155-5b8c-4279-bbb3-907c577d8d53,8427599,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Psyllobora vigintimaculata",141749,"(Say, 1824)",Psyllobora,vigintimaculata,,,"W. C. Stehr",5-30-1932,,,,,,"W. C. Stehr",,,,1932-05-30,1932,5,30,151,,5-30-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,Athens,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-03-18 11:45:24",,3,urn:uuid:76a11155-5b8c-4279-bbb3-907c577d8d53,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3799825
