Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T059_001,SE_T059_002,SE_T059_003
Adams County,"Adams County, Ohio",585.7857,50,3900010,390,10,26328,585.7856879,26328,0,26328,0,325125,212928,112197
Allen County,"Allen County, Ohio",406.88,50,3900030,390,30,47976,406.8799787,47976,24012,47976,0,245283,196465,48818
Ashland County,"Ashland County, Ohio",426.8443,50,3900050,390,50,21184,426.8442626,21184,4087,21184,0,254689,202677,52012
Ashtabula County,"Ashtabula County, Ohio",709.7655,50,3900070,390,70,51448,709.7655449,51448,20082,51448,0,416963,244013,172950
Athens County,"Athens County, Ohio",508.5371,50,3900090,390,90,38730,508.5371204,38730,8487,38730,0,297166,229399,67767
Auglaize County,"Auglaize County, Ohio",401.7178,50,3900110,390,110,31192,401.7178055,31192,9274,31192,0,240507,187924,52583
Belmont County,"Belmont County, Ohio",541.3875,50,3900130,390,130,60875,541.3875198,60875,25356,60875,0,327450,267625,59825
Brown County,"Brown County, Ohio",495.2166,50,3900150,390,150,28237,495.21664,28237,0,28237,0,309036,265741,43295
Butler County,"Butler County, Ohio",470.2002,50,3900170,390,170,56870,470.2001799,56870,33129,56870,0,280331,226347,53984
Carroll County,"Carroll County, Ohio",399.0058,50,3900190,390,190,16811,399.0057851,16811,0,16811,0,243060,199557,43503
Champaign County,"Champaign County, Ohio",429.7048,50,3900210,390,210,26642,429.7047661,26642,6808,26642,0,269021,218543,50478
Clark County,"Clark County, Ohio",403.7947,50,3900230,390,230,58939,403.7946845,58939,38253,58939,38253,240903,198857,42046
Clermont County,"Clermont County, Ohio",457.6713,50,3900250,390,250,31610,457.6712534,31610,0,31610,0,274880,233432,41448
Clinton County,"Clinton County, Ohio",412.2847,50,3900270,390,270,24202,412.2846827,24202,3613,24202,0,257164,225576,31588
Columbiana County,"Columbiana County, Ohio",535.1811,50,3900290,390,290,68590,535.1811095,68590,36287,68590,0,315943,244869,71074
Coshocton County,"Coshocton County, Ohio",567.5733,50,3900310,390,310,29337,567.5733154,29337,6473,29337,0,347240,279856,67384
Crawford County,"Crawford County, Ohio",402.8284,50,3900330,390,330,33915,402.8284317,33915,17124,33915,0,248831,202540,46291
Cuyahoga County,"Cuyahoga County, Ohio",459.4089,50,3900350,390,350,439120,459.4089174,439120,405526,439120,381768,237507,154080,83427
Darke County,"Darke County, Ohio",600.2858,50,3900370,390,370,42532,600.2857753,42532,6783,42532,0,370382,311867,58515
Defiance County,"Defiance County, Ohio",414.1833,50,3900390,390,390,26387,414.1832822,26387,10099,26387,0,244798,176546,68252
Delaware County,"Delaware County, Ohio",455.9736,50,3900410,390,410,26401,455.9736449,26401,7940,26401,0,282396,234482,47914
Erie County,"Erie County, Ohio",256.5774,50,3900430,390,430,37650,256.5773663,37650,19664,37650,0,148416,123140,25276
Fairfield County,"Fairfield County, Ohio",508.5959,50,3900450,390,450,34259,508.5959272,34259,8991,34259,0,308629,266174,42455
Fayette County,"Fayette County, Ohio",407.0774,50,3900470,390,470,21725,407.0773975,21725,5751,21725,0,248198,225576,22622
Franklin County,"Franklin County, Ohio",543.3248,50,3900490,390,490,164460,543.3247829,164460,125560,164460,125560,310053,274495,35558
Fulton County,"Fulton County, Ohio",407.3192,50,3900510,390,510,22801,407.319194,22801,0,22801,0,247129,195741,51388
Gallia County,"Gallia County, Ohio",471.1354,50,3900530,390,530,27918,471.1353678,27918,5432,27918,0,279420,226422,52998
Geauga County,"Geauga County, Ohio",408.284,50,3900550,390,550,14744,408.2840356,14744,0,14744,0,246801,136704,110097
Greene County,"Greene County, Ohio",416.2128,50,3900570,390,570,31613,416.2127896,31613,8696,31613,0,256172,214388,41784
Guernsey County,"Guernsey County, Ohio",528.2915,50,3900590,390,590,34425,528.2915106,34425,8241,34425,0,323993,265374,58619
Hamilton County,"Hamilton County, Ohio",412.784,50,3900610,390,610,409479,412.783997,409479,349768,409479,325902,203938,159773,44165
Hancock County,"Hancock County, Ohio",533.593,50,3900630,390,630,41993,533.5929542,41993,18953,41993,0,322267,258375,63892
Hardin County,"Hardin County, Ohio",470.5338,50,3900650,390,650,31187,470.5338155,31187,9428,31187,0,290992,233864,57128
Harrison County,"Harrison County, Ohio",410.7887,50,3900670,390,670,20486,410.7887208,20486,0,20486,0,247933,208073,39860
Henry County,"Henry County, Ohio",419.9748,50,3900690,390,690,27282,419.9748001,27282,3639,27282,0,253549,204054,49495
Highland County,"Highland County, Ohio",557.8397,50,3900710,390,710,30982,557.8397218,30982,8514,30982,0,363892,306669,57223
Hocking County,"Hocking County, Ohio",423.5991,50,3900730,390,730,24398,423.5991399,24398,3480,24398,0,244206,179609,64597
Holmes County,"Holmes County, Ohio",424.0183,50,3900750,390,750,19511,424.0182617,19511,0,19511,0,253357,196201,57156
Huron County,"Huron County, Ohio",494.5127,50,3900770,390,770,32330,494.5126957,32330,9881,32330,0,300163,237093,63070
Jackson County,"Jackson County, Ohio",421.4991,50,3900790,390,790,34248,421.4991208,34248,12717,34248,0,234173,184057,50116
Jefferson County,"Jefferson County, Ohio",410.8725,50,3900810,390,810,44357,410.8725212,44357,20829,44357,0,246989,173347,73642
Knox County,"Knox County, Ohio",529.5311,50,3900830,390,830,27768,529.5310711,27768,6633,27768,0,326049,267660,58389
Lake County,"Lake County, Ohio",231.7139,50,3900850,390,850,21680,231.713917,21680,5024,21680,0,132214,94812,37402
Lawrence County,"Lawrence County, Ohio",457.2767,50,3900870,390,870,39534,457.2767256,39534,11868,39534,0,209915,142835,67080
Licking County,"Licking County, Ohio",688.3792,50,3900890,390,890,47070,688.3791723,47070,18157,47070,0,417030,353412,63618
Logan County,"Logan County, Ohio",466.7751,50,3900910,390,910,30420,466.7751359,30420,6649,30420,0,289777,226557,63220
Lorain County,"Lorain County, Ohio",494.6683,50,3900930,390,930,54857,494.6682882,54857,28901,54857,0,296128,222680,73448
Lucas County,"Lucas County, Ohio",347.0145,50,3900950,390,950,153559,347.0145405,153559,131822,153559,131822,167133,131098,36035
Madison County,"Madison County, Ohio",465.9407,50,3900970,390,970,20590,465.9406905,20590,3511,20590,0,294353,256006,38347
Mahoning County,"Mahoning County, Ohio",423.381,50,3900990,390,990,70134,423.3810368,70134,44885,70134,44885,247976,175213,72763
Marion County,"Marion County, Ohio",404.1442,50,3901010,390,1010,28678,404.14415,28678,11862,28678,0,241191,206505,34686
Medina County,"Medina County, Ohio",423.1117,50,3901030,390,1030,21958,423.1117488,21958,0,21958,0,255708,192662,63046
Meigs County,"Meigs County, Ohio",432.3764,50,3901050,390,1050,28620,432.3764235,28620,7438,28620,0,261153,204486,56667
Mercer County,"Mercer County, Ohio",473.2923,50,3901070,390,1070,28021,473.2922692,28021,2815,28021,0,274909,217017,57892
Miami County,"Miami County, Ohio",409.2189,50,3901090,390,1090,43105,409.2189093,43105,18053,43105,0,249411,219112,30299
Monroe County,"Monroe County, Ohio",457.4578,50,3901110,390,1110,27031,457.4577711,27031,0,27031,0,281464,214561,66903
Montgomery County,"Montgomery County, Ohio",464.3444,50,3901130,390,1130,130146,464.3444281,130146,89274,130146,85333,280938,234828,46110
Morgan County,"Morgan County, Ohio",421.8582,50,3901150,390,1150,17905,421.8582103,17905,0,17905,0,260760,212822,47938
Morrow County,"Morrow County, Ohio",407.355,50,3901170,390,1170,17879,407.3550166,17879,0,17879,0,248403,194642,53761
Muskingum County,"Muskingum County, Ohio",672.5903,50,3901190,390,1190,53185,672.5903452,53185,23538,53185,0,405481,333865,71616
Noble County,"Noble County, Ohio",404.5848,50,3901210,390,1210,19466,404.5847632,19466,0,19466,0,248495,214315,34180
Ottawa County,"Ottawa County, Ohio",267.0984,50,3901230,390,1230,22213,267.0984085,22213,0,22213,0,158472,121318,37154
Paulding County,"Paulding County, Ohio",418.8962,50,3901250,390,1250,27528,418.8962125,27528,0,27528,0,248303,189058,59245
Perry County,"Perry County, Ohio",412.5925,50,3901270,390,1270,31841,412.5924782,31841,2966,31841,0,227242,182188,45054
Pickaway County,"Pickaway County, Ohio",506.7893,50,3901290,390,1290,27016,506.7893478,27016,6991,27016,0,309642,257140,52502
Pike County,"Pike County, Ohio",443.9417,50,3901310,390,1310,18172,443.941743,18172,0,18172,0,243016,144498,98518
Portage County,"Portage County, Ohio",507.1042,50,3901330,390,1330,29246,507.1042042,29246,8544,29246,0,304162,209145,95017
Preble County,"Preble County, Ohio",426.3253,50,3901350,390,1350,23713,426.3253099,23713,3155,23713,0,264537,215457,49080
Putnam County,"Putnam County, Ohio",484.2261,50,3901370,390,1370,32525,484.2260971,32525,0,32525,0,290553,234066,56487
Richland County,"Richland County, Ohio",500.3257,50,3901390,390,1390,44289,500.3257215,44289,22325,44289,0,304243,239351,64892
