Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T059_001,SE_T059_002,SE_T059_003
Ross County,"Ross County, Ohio",692.96,50,3901410,390,1410,40940,692.9600379,40940,12976,40940,0,405198,307181,98017
Sandusky County,"Sandusky County, Ohio",412.3483,50,3901430,390,1430,34311,412.3483058,34311,12248,34311,0,247243,198982,48261
Scioto County,"Scioto County, Ohio",616.0734,50,3901450,390,1450,40981,616.0733749,40981,17870,40981,0,283950,184795,99155
Seneca County,"Seneca County, Ohio",552.3653,50,3901470,390,1470,41163,552.3652955,41163,17379,41163,0,327485,254534,72951
Shelby County,"Shelby County, Ohio",411.036,50,3901490,390,1490,24625,411.0359548,24625,5688,24625,0,251793,202356,49437
Stark County,"Stark County, Ohio",580.9082,50,3901510,390,1510,94747,580.9081748,94747,51585,94747,30667,342290,281064,61226
Summit County,"Summit County, Ohio",420.0611,50,3901530,390,1530,71715,420.0610528,71715,50268,71715,42728,238816,162020,76796
Trumbull County,"Trumbull County, Ohio",634.715,50,3901550,390,1550,46591,634.714985,46591,18627,46591,0,377552,240147,137405
Tuscarawas County,"Tuscarawas County, Ohio",571.4823,50,3901570,390,1570,53751,571.4823452,53751,22639,53751,0,339786,275206,64580
Union County,"Union County, Ohio",436.9747,50,3901590,390,1590,22342,436.9747083,22342,3048,22342,0,275958,227534,48424
Van Wert County,"Van Wert County, Ohio",410.4848,50,3901610,390,1610,30394,410.4847746,30394,8650,30394,0,256014,211556,44458
Vinton County,"Vinton County, Ohio",414.959,50,3901630,390,1630,15330,414.9590297,15330,0,15330,0,226474,145559,80915
Warren County,"Warren County, Ohio",407.1391,50,3901650,390,1650,25584,407.1390756,25584,5591,25584,0,250003,210557,39446
Washington County,"Washington County, Ohio",640.1477,50,3901670,390,1670,48245,640.1477126,48245,13348,48245,0,374694,280691,94003
Wayne County,"Wayne County, Ohio",556.3108,50,3901690,390,1690,37870,556.3108323,37870,6063,37870,0,338149,272280,65869
Williams County,"Williams County, Ohio",423.0502,50,3901710,390,1710,24953,423.0502233,24953,3131,24953,0,253228,195074,58154
Wood County,"Wood County, Ohio",620.539,50,3901730,390,1730,51555,620.5390077,51555,8628,51555,0,367527,296928,70599
Wyandot County,"Wyandot County, Ohio",407.6206,50,3901750,390,1750,21125,407.620576,21125,3355,21125,0,248222,208246,39976
