Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T063_001,SE_T063_002,SE_T063_003
Mahoning County,"Mahoning County, Ohio",423.381,50,3900990,390,990,55979,423.3810368,55979,33220,55979,33220,237560,185748,51812
Marion County,"Marion County, Ohio",404.1442,50,3901010,390,1010,24727,404.14415,24727,8327,24727,0,232545,193602,38943
Medina County,"Medina County, Ohio",423.1117,50,3901030,390,1030,21742,423.1117488,21742,0,21742,0,251624,206320,45304
Meigs County,"Meigs County, Ohio",432.3764,50,3901050,390,1050,29813,432.3764235,29813,7937,29813,0,245278,188648,56630
Mercer County,"Mercer County, Ohio",473.2923,50,3901070,390,1070,27220,473.2922692,27220,2702,27220,0,265150,184245,80905
Miami County,"Miami County, Ohio",409.2189,50,3901090,390,1090,39754,409.2189093,39754,13584,39754,0,233642,202197,31445
Monroe County,"Monroe County, Ohio",457.4578,50,3901110,390,1110,25175,457.4577711,25175,0,25175,0,279647,208710,70937
Montgomery County,"Montgomery County, Ohio",464.3444,50,3901130,390,1130,100852,464.3444281,100852,64172,100852,61220,268774,229242,39532
Morgan County,"Morgan County, Ohio",421.8582,50,3901150,390,1150,19143,421.8582103,19143,0,19143,0,252697,200655,52042
Morrow County,"Morrow County, Ohio",407.355,50,3901170,390,1170,18120,407.3550166,18120,0,18120,0,243288,200085,43203
Muskingum County,"Muskingum County, Ohio",672.5903,50,3901190,390,1190,51210,672.5903452,51210,21009,51210,0,395542,321243,74299
Noble County,"Noble County, Ohio",404.5848,50,3901210,390,1210,20753,404.5847632,20753,0,20753,0,243490,201862,41628
Ottawa County,"Ottawa County, Ohio",267.0984,50,3901230,390,1230,21974,267.0984085,21974,0,21974,0,132142,98318,33824
Paulding County,"Paulding County, Ohio",418.8962,50,3901250,390,1250,25932,418.8962125,25932,0,25932,0,168570,94094,74476
Perry County,"Perry County, Ohio",412.5925,50,3901270,390,1270,31151,412.5924782,31151,6048,31151,0,224252,180166,44086
Pickaway County,"Pickaway County, Ohio",506.7893,50,3901290,390,1290,26959,506.7893478,26959,6556,26959,0,300266,263799,36467
Pike County,"Pike County, Ohio",443.9417,50,3901310,390,1310,17482,443.941743,17482,0,17482,0,224376,137567,86809
Portage County,"Portage County, Ohio",507.1042,50,3901330,390,1330,27868,507.1042042,27868,6918,27868,0,292475,227084,65391
Preble County,"Preble County, Ohio",426.3253,50,3901350,390,1350,23421,426.3253099,23421,2934,23421,0,259556,205447,54109
Putnam County,"Putnam County, Ohio",484.2261,50,3901370,390,1370,30188,484.2260971,30188,0,30188,0,255928,177500,78428
Richland County,"Richland County, Ohio",500.3257,50,3901390,390,1390,38072,500.3257215,38072,13473,38072,0,298256,235103,63153
