Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T002_001
Adams,"Adams County, Ohio",50,39001,39,1,20499,585.7857056
Allen,"Allen County, Ohio",50,39003,39,3,88183,406.8799744
Ashland,"Ashland County, Ohio",50,39005,39,5,33040,426.8442688
Ashtabula,"Ashtabula County, Ohio",50,39007,39,7,78695,709.765564
Athens,"Athens County, Ohio",50,39009,39,9,45839,508.5371094
Auglaize,"Auglaize County, Ohio",50,39011,39,11,30637,401.717804
Belmont,"Belmont County, Ohio",50,39013,39,13,87740,541.3875122
Brown,"Brown County, Ohio",50,39015,39,15,22221,495.2166443
Butler,"Butler County, Ohio",50,39017,39,17,147203,470.2001648
Carroll,"Carroll County, Ohio",50,39019,39,19,19039,399.0057983
Champaign,"Champaign County, Ohio",50,39021,39,21,26793,429.7047729
Clark,"Clark County, Ohio",50,39023,39,23,111661,403.7946777
Clermont,"Clermont County, Ohio",50,39025,39,25,42182,457.6712646
Clinton,"Clinton County, Ohio",50,39027,39,27,25572,412.284668
Columbiana,"Columbiana County, Ohio",50,39029,39,29,98920,535.1810913
Coshocton,"Coshocton County, Ohio",50,39031,39,31,31141,567.5733032
Crawford,"Crawford County, Ohio",50,39033,39,33,38738,402.8284302
Cuyahoga,"Cuyahoga County, Ohio",50,39035,39,35,1389532,459.408905
Darke,"Darke County, Ohio",50,39037,39,37,41799,600.2857666
Defiance,"Defiance County, Ohio",50,39039,39,39,25925,414.1832886
Delaware,"Delaware County, Ohio",50,39041,39,41,30278,455.9736328
Erie,"Erie County, Ohio",50,39043,39,43,52565,256.5773621
Fairfield,"Fairfield County, Ohio",50,39045,39,45,52130,508.5959167
Fayette,"Fayette County, Ohio",50,39047,39,47,22554,407.0773926
Franklin,"Franklin County, Ohio",50,39049,39,49,503410,543.3247681
Fulton,"Fulton County, Ohio",50,39051,39,51,25580,407.3191833
Gallia,"Gallia County, Ohio",50,39053,39,53,24910,471.135376
Geauga,"Geauga County, Ohio",50,39055,39,55,26646,408.2840271
Greene,"Greene County, Ohio",50,39057,39,57,58892,416.2127991
Guernsey,"Guernsey County, Ohio",50,39059,39,59,38452,528.2915039
Hamilton,"Hamilton County, Ohio",50,39061,39,61,723952,412.7839966
Hancock,"Hancock County, Ohio",50,39063,39,63,44280,533.5929565
Hardin,"Hardin County, Ohio",50,39065,39,65,28673,470.5338135
Harrison,"Harrison County, Ohio",50,39067,39,67,19054,410.7887268
Henry,"Henry County, Ohio",50,39069,39,69,22423,419.9747925
Highland,"Highland County, Ohio",50,39071,39,71,28188,557.8397217
Hocking,"Hocking County, Ohio",50,39073,39,73,19520,423.5991516
Holmes,"Holmes County, Ohio",50,39075,39,75,18760,424.0182495
Huron,"Huron County, Ohio",50,39077,39,77,39353,494.5126953
Jackson,"Jackson County, Ohio",50,39079,39,79,27767,421.499115
Jefferson,"Jefferson County, Ohio",50,39081,39,81,96495,410.8725281
Knox,"Knox County, Ohio",50,39083,39,83,35287,529.5310669
Lake,"Lake County, Ohio",50,39085,39,85,75979,231.713913
