Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T002_001
Lawrence,"Lawrence County, Ohio",50,39087,39,87,49115,457.2767334
Licking,"Licking County, Ohio",50,39089,39,89,70645,688.3791504
Logan,"Logan County, Ohio",50,39091,39,91,31329,466.7751465
Lorain,"Lorain County, Ohio",50,39093,39,93,148162,494.6682739
Lucas,"Lucas County, Ohio",50,39095,39,95,395551,347.0145264
Madison,"Madison County, Ohio",50,39097,39,97,22300,465.9407043
Mahoning,"Mahoning County, Ohio",50,39099,39,99,257629,423.3810425
Marion,"Marion County, Ohio",50,39101,39,101,49959,404.144165
Medina,"Medina County, Ohio",50,39103,39,103,40417,423.1117554
Meigs,"Meigs County, Ohio",50,39105,39,105,23227,432.3764343
Mercer,"Mercer County, Ohio",50,39107,39,107,28311,473.2922668
Miami,"Miami County, Ohio",50,39109,39,109,61309,409.2189026
Monroe,"Monroe County, Ohio",50,39111,39,111,15362,457.4577637
Montgomery,"Montgomery County, Ohio",50,39113,39,113,398441,464.3444214
Morgan,"Morgan County, Ohio",50,39115,39,115,12836,421.8582153
Morrow,"Morrow County, Ohio",50,39117,39,117,17168,407.355011
Muskingum,"Muskingum County, Ohio",50,39119,39,119,74535,672.590332
Noble,"Noble County, Ohio",50,39121,39,121,11750,404.5847778
Ottawa,"Ottawa County, Ohio",50,39123,39,123,29469,267.0984192
Paulding,"Paulding County, Ohio",50,39125,39,125,15047,418.8962097
Perry,"Perry County, Ohio",50,39127,39,127,28999,412.5924683
Pickaway,"Pickaway County, Ohio",50,39129,39,129,29352,506.7893372
Pike,"Pike County, Ohio",50,39131,39,131,14607,443.9417419
Portage,"Portage County, Ohio",50,39133,39,133,63954,507.1042175
Preble,"Preble County, Ohio",50,39135,39,135,27081,426.3253174
Putnam,"Putnam County, Ohio",50,39137,39,137,25248,484.2261047
Richland,"Richland County, Ohio",50,39139,39,139,91305,500.3257141
Ross,"Ross County, Ohio",50,39141,39,141,54424,692.960022
Sandusky,"Sandusky County, Ohio",50,39143,39,143,46114,412.3482971
Scioto,"Scioto County, Ohio",50,39145,39,145,82910,616.0733643
Seneca,"Seneca County, Ohio",50,39147,39,147,52978,552.3652954
Shelby,"Shelby County, Ohio",50,39149,39,149,28488,411.0359497
Stark,"Stark County, Ohio",50,39151,39,151,283194,580.9082031
Summit,"Summit County, Ohio",50,39153,39,153,410032,420.0610657
Trumbull,"Trumbull County, Ohio",50,39155,39,155,158915,634.7149658
Tuscarawas,"Tuscarawas County, Ohio",50,39157,39,157,70320,571.4823608
Union,"Union County, Ohio",50,39159,39,159,20687,436.9747009
Van Wert,"Van Wert County, Ohio",50,39161,39,161,26971,410.4847717
Vinton,"Vinton County, Ohio",50,39163,39,163,10759,414.9590149
Warren,"Warren County, Ohio",50,39165,39,165,38505,407.1390686
Washington,"Washington County, Ohio",50,39167,39,167,44407,640.1477051
Wayne,"Wayne County, Ohio",50,39169,39,169,58716,556.3108521
Williams,"Williams County, Ohio",50,39171,39,171,26202,423.0502319
Wood,"Wood County, Ohio",50,39173,39,173,59605,620.5390015
Wyandot,"Wyandot County, Ohio",50,39175,39,175,19785,407.620575
