Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T003_001,SE_T003_002,SE_T160_001,SE_T160_002,SE_T164_001,SE_T164_002,SE_T164_003,SE_T164_004,SE_T164_005
Ottawa County,"Ottawa County, Ohio",267.0984,50,3901230,390,1230,24109,267.0984085,24109,4408,5,4403,24109,0,172800,137510,137510,103095,23211,1606,9598
Paulding County,"Paulding County, Ohio",418.8962,50,3901250,390,1250,15301,418.8962125,15301,0,0,0,15301,0,264320,244420,244420,186217,48625,3570,6008
Perry County,"Perry County, Ohio",412.5925,50,3901270,390,1270,31445,412.5924782,31445,7152,6,7146,31445,0,255360,188025,188025,72467,91957,9657,13944
Pickaway County,"Pickaway County, Ohio",506.7893,50,3901290,390,1290,27238,506.7893478,27238,7369,19,7350,27238,0,313600,302444,302444,189947,93482,3728,15287
Pike County,"Pike County, Ohio",443.9417,50,3901310,390,1310,13876,443.941743,13876,0,0,0,13876,0,273920,204806,204806,72511,65729,47886,18680
Portage County,"Portage County, Ohio",507.1042,50,3901330,390,1330,42682,507.1042042,42682,16394,18,16376,42682,0,333440,235749,235749,114435,96253,7955,17106
Preble County,"Preble County, Ohio",426.3253,50,3901350,390,1350,22455,426.3253099,22455,3347,5,3342,22455,0,266240,258547,258547,164084,80537,2832,11094
Putnam County,"Putnam County, Ohio",484.2261,50,3901370,390,1370,25074,484.2260971,25074,0,0,0,25074,0,308480,283103,283103,205076,60369,5562,12096
Richland County,"Richland County, Ohio",500.3257,50,3901390,390,1390,65902,500.3257215,65902,39723,7,39716,65902,33525,321920,278086,278086,148789,93457,14176,21664
Ross County,"Ross County, Ohio",692.96,50,3901410,390,1410,45181,692.9600379,45181,18340,16,18324,45181,0,427520,348944,348944,159390,131043,38308,20203
Sandusky County,"Sandusky County, Ohio",412.3483,50,3901430,390,1430,39731,412.3483058,39731,19193,46,19147,39731,0,264320,235348,235348,169228,50122,2608,13390
Scioto County,"Scioto County, Ohio",616.0734,50,3901450,390,1450,81221,616.0733749,81221,48491,34,48457,81221,42560,398720,213635,213635,70641,81607,48452,12935
Seneca County,"Seneca County, Ohio",552.3653,50,3901470,390,1470,47941,552.3652955,47941,27069,36,27033,47941,0,352000,324350,324350,223934,79312,6116,14988
Shelby County,"Shelby County, Ohio",411.036,50,3901490,390,1490,24924,411.0359548,24924,9301,1,9300,24924,0,264320,242201,242201,163712,59804,6524,12161
Stark County,"Stark County, Ohio",580.9082,50,3901510,390,1510,221784,580.9081748,221784,161448,24,161424,221784,131306,362240,260726,260726,157888,73267,7442,22129
Summit County,"Summit County, Ohio",420.0611,50,3901530,390,1530,344131,420.0610528,344131,298771,63,298708,344131,255040,261120,126710,126710,69955,40393,5098,11264
Trumbull County,"Trumbull County, Ohio",634.715,50,3901550,390,1550,123063,634.714985,123063,74863,15,74848,123063,41152,405120,248669,248669,108973,117324,8212,14160
Tuscarawas County,"Tuscarawas County, Ohio",571.4823,50,3901570,390,1570,68193,571.4823452,68193,37312,9,37303,68193,0,355200,275710,275710,114357,113522,21500,26331
Union County,"Union County, Ohio",436.9747,50,3901590,390,1590,19192,436.9747083,19192,3639,8,3631,19192,0,285440,251312,251312,147357,91886,3339,8730
Van Wert County,"Van Wert County, Ohio",410.4848,50,3901610,390,1610,26273,410.4847746,26273,11089,19,11070,26273,0,259840,244649,244649,183887,48092,3013,9657
Vinton County,"Vinton County, Ohio",414.959,50,3901630,390,1630,10287,414.9590297,10287,0,0,0,10287,0,263680,153966,153966,34383,80196,26439,12948
Warren County,"Warren County, Ohio",407.1391,50,3901650,390,1650,27348,407.1390756,27348,7713,6,7707,27348,0,264320,230168,230168,127871,83423,5052,13822
Washington County,"Washington County, Ohio",640.1477,50,3901670,390,1670,42437,640.1477126,42437,14285,4,14281,42437,0,403200,331823,331823,98320,174437,27535,31531
Wayne County,"Wayne County, Ohio",556.3108,50,3901690,390,1690,47024,556.3108323,47024,17954,32,17922,47024,0,356480,322128,322128,193677,93332,11654,23465
Williams County,"Williams County, Ohio",423.0502,50,3901710,390,1710,24316,423.0502233,24316,8366,16,8350,24316,0,263040,250712,250712,156650,77022,4729,12311
Wood County,"Wood County, Ohio",620.539,50,3901730,390,1730,50320,620.5390077,50320,9870,38,9832,50320,0,391680,355595,355595,281803,51854,4126,17812
Wyandot County,"Wyandot County, Ohio",407.6206,50,3901750,390,1750,19036,407.620576,19036,6611,6,6605,19036,0,259840,239707,239707,147597,73757,6883,11470
