Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T003_001,SE_T003_002,SE_T160_001,SE_T160_002,SE_T164_001,SE_T164_002,SE_T164_003,SE_T164_004,SE_T164_005
Adams County,"Adams County, Ohio",585.7857,50,3900010,390,10,20381,585.7856879,20381,0,0,0,20381,0,349440,296669,296669,94257,141417,36472,24523
Allen County,"Allen County, Ohio",406.88,50,3900030,390,30,69419,406.8799787,69419,45342,2,45340,69419,42287,259840,230424,230424,150292,67583,3177,9372
Ashland County,"Ashland County, Ohio",426.8443,50,3900050,390,50,26867,426.8442626,26867,11141,13,11128,26867,0,269440,232530,232530,126660,79893,10896,15081
Ashtabula County,"Ashtabula County, Ohio",709.7655,50,3900070,390,70,68361,709.7655449,68361,36783,33,36750,68361,0,462720,337303,337303,158935,151322,11518,15528
Athens County,"Athens County, Ohio",508.5371,50,3900090,390,90,44175,508.5371204,44175,15477,20,15457,44175,0,311680,227874,227874,57697,146287,10188,13702
Auglaize County,"Auglaize County, Ohio",401.7178,50,3900110,390,110,28034,401.7178055,28034,10811,22,10789,28034,0,254080,240845,240845,160159,64527,4932,11227
Belmont County,"Belmont County, Ohio",541.3875,50,3900130,390,130,94719,541.3875198,94719,41206,14,41192,94719,0,339200,272342,272342,100189,138423,12636,21094
Brown County,"Brown County, Ohio",495.2166,50,3900150,390,150,20148,495.21664,20148,0,0,0,20148,0,307840,284188,284188,113897,137439,11149,21703
Butler County,"Butler County, Ohio",470.2002,50,3900170,390,170,114084,470.2001799,114084,84756,5,84751,114084,82168,289280,260906,260906,152572,87102,3633,17599
Carroll County,"Carroll County, Ohio",399.0058,50,3900190,390,190,16057,399.0057851,16057,1358,0,1358,16057,0,247680,206060,206060,83677,90453,13362,18568
Champaign County,"Champaign County, Ohio",429.7048,50,3900210,390,210,24103,429.7047661,24103,7742,12,7730,24103,0,269440,250148,250148,155194,81781,2126,11047
Clark County,"Clark County, Ohio",403.7947,50,3900230,390,230,90936,403.7946845,90936,68743,32,68711,90936,68743,260480,231091,231091,142743,76290,3648,8410
Clermont County,"Clermont County, Ohio",457.6713,50,3900250,390,250,29786,457.6712534,29786,0,0,0,29786,0,297600,245187,245187,112415,107159,8503,17110
Clinton County,"Clinton County, Ohio",412.2847,50,3900270,390,270,21547,412.2846827,21547,5332,24,5308,21547,0,263040,249420,249420,142172,91823,3714,11711
Columbiana County,"Columbiana County, Ohio",535.1811,50,3900290,390,290,86484,535.1811095,86484,50527,8,50519,86484,0,341760,261534,261534,132098,93645,14091,21700
Coshocton County,"Coshocton County, Ohio",567.5733,50,3900310,390,310,28976,567.5733154,28976,10908,7,10901,28976,0,357120,316642,316642,108661,160399,24588,22994
Crawford County,"Crawford County, Ohio",402.8284,50,3900330,390,330,35345,402.8284317,35345,22126,39,22087,35345,0,261760,232299,232299,148592,65815,6850,11042
Cuyahoga County,"Cuyahoga County, Ohio",459.4089,50,3900350,390,350,1201455,459.4089174,1201455,1165880,376,1165504,1201455,1061550,296320,55155,55155,30459,16036,3251,5409
Darke County,"Darke County, Ohio",600.2858,50,3900370,390,370,38009,600.2857753,38009,8341,1,8340,38009,0,375040,361588,361588,249684,89484,5216,17204
Defiance County,"Defiance County, Ohio",414.1833,50,3900390,390,390,22714,414.1832822,22714,8818,10,8808,22714,0,259200,234388,234388,156036,64996,4046,9310
Delaware County,"Delaware County, Ohio",455.9736,50,3900410,390,410,26016,455.9736449,26016,8675,4,8671,26016,0,284800,266491,266491,141731,110319,2633,11808
Erie County,"Erie County, Ohio",256.5774,50,3900430,390,430,42133,256.5773663,42133,24622,30,24592,42133,0,163840,134508,134508,92183,29883,4308,8134
Fairfield County,"Fairfield County, Ohio",508.5959,50,3900450,390,450,44010,508.5959272,44010,18716,9,18707,44010,0,316800,289402,289402,164912,94795,13942,15753
Fayette County,"Fayette County, Ohio",407.0774,50,3900470,390,470,20755,407.0773975,20755,8426,4,8422,20755,0,264320,247700,247700,153365,82820,2782,8733
Franklin County,"Franklin County, Ohio",543.3248,50,3900490,390,490,361055,543.3247829,361055,310256,66,310190,361055,290564,330880,248925,248925,157232,74381,3008,14304
Fulton County,"Fulton County, Ohio",407.3192,50,3900510,390,510,23477,407.319194,23477,2889,11,2878,23477,0,259200,241051,241051,163590,58271,3693,15497
Gallia County,"Gallia County, Ohio",471.1354,50,3900530,390,530,23050,471.1353678,23050,7106,19,7087,23050,0,287360,252797,252797,65178,148931,17565,21123
Geauga County,"Geauga County, Ohio",408.284,50,3900550,390,550,15414,408.2840356,15414,0,0,0,15414,0,266240,172249,172249,68479,81465,11205,11100
Greene County,"Greene County, Ohio",416.2128,50,3900570,390,570,33259,416.2127896,33259,10507,10,10497,33259,0,265600,238873,238873,147497,79301,2419,9656
Guernsey County,"Guernsey County, Ohio",528.2915,50,3900590,390,590,41486,528.2915106,41486,18767,10,18757,41486,0,331520,276168,276168,80509,163391,18227,14041
Hamilton County,"Hamilton County, Ohio",412.784,50,3900610,390,610,589356,412.783997,589356,530170,247,529923,589356,484571,260480,140353,140353,68227,53184,4172,14770
Hancock County,"Hancock County, Ohio",533.593,50,3900630,390,630,40404,533.5929542,40404,21512,18,21494,40404,0,342400,311301,311301,210206,79620,8362,13113
Hardin County,"Hardin County, Ohio",470.5338,50,3900650,390,650,27635,470.5338155,27635,7069,2,7067,27635,0,302720,277744,277744,180135,83072,4544,9993
Harrison County,"Harrison County, Ohio",410.7887,50,3900670,390,670,18844,410.7887208,18844,2597,0,2597,18844,0,256640,210511,210511,61942,128725,9243,10601
Henry County,"Henry County, Ohio",419.9748,50,3900690,390,690,22524,419.9748001,22524,4545,16,4529,22524,0,264960,250413,250413,192047,43755,2461,12150
Highland County,"Highland County, Ohio",557.8397,50,3900710,390,710,25416,557.8397218,25416,7911,10,7901,25416,0,351360,335439,335439,150536,155629,10759,18515
Hocking County,"Hocking County, Ohio",423.5991,50,3900730,390,730,20407,423.5991399,20407,6080,2,6078,20407,0,263040,179496,179496,47814,88626,24116,18940
Holmes County,"Holmes County, Ohio",424.0183,50,3900750,390,750,16726,424.0182617,16726,0,0,0,16726,0,267520,242519,242519,113284,90009,20409,18817
Huron County,"Huron County, Ohio",494.5127,50,3900770,390,770,33700,494.5126957,33700,15934,48,15886,33700,0,316160,273492,273492,162226,87163,7869,16234
Jackson County,"Jackson County, Ohio",421.4991,50,3900790,390,790,25040,421.4991208,25040,11241,51,11190,25040,0,258560,191189,191189,52633,105572,20733,12251
Jefferson County,"Jefferson County, Ohio",410.8725,50,3900810,390,810,88307,410.8725212,88307,47496,5,47491,88307,35422,260480,178301,178301,61079,90961,13247,13014
Knox County,"Knox County, Ohio",529.5311,50,3900830,390,830,29338,529.5310711,29338,9370,0,9370,29338,0,328320,301836,301836,128143,139745,19595,14353
Lake County,"Lake County, Ohio",231.7139,50,3900850,390,850,41674,231.713917,41674,20168,13,20155,41674,0,154240,67740,67740,35504,18415,5904,7917
Lawrence County,"Lawrence County, Ohio",457.2767,50,3900870,390,870,44541,457.2767256,44541,16621,10,16611,44541,0,283520,187146,187146,53126,93162,22154,18704
Licking County,"Licking County, Ohio",688.3792,50,3900890,390,890,59962,688.3791723,59962,30596,18,30578,59962,30596,428160,386894,386894,170959,182444,13699,19792
Logan County,"Logan County, Ohio",466.7751,50,3900910,390,910,28981,466.7751359,28981,9543,25,9518,28981,0,288640,258711,258711,154381,89912,3208,11210
Lorain County,"Lorain County, Ohio",494.6683,50,3900930,390,930,109206,494.6682882,109206,77281,26,77255,109206,70145,318080,238731,238731,136145,82277,6717,13592
Lucas County,"Lucas County, Ohio",347.0145,50,3900950,390,950,347709,347.0145405,347709,295306,93,295213,347709,290718,218880,120166,120166,91713,16549,2418,9486
Madison County,"Madison County, Ohio",465.9407,50,3900970,390,970,20253,465.9406905,20253,4141,18,4123,20253,0,318080,279414,279414,184907,82470,3657,8380
Mahoning County,"Mahoning County, Ohio",423.381,50,3900990,390,990,236142,423.3810368,236142,202333,75,202258,236142,169912,273280,176997,176997,82147,81612,3969,9269
Marion County,"Marion County, Ohio",404.1442,50,3901010,390,1010,45420,404.14415,45420,31084,5,31079,45420,31084,261760,231241,231241,147399,71120,4466,8256
Medina County,"Medina County, Ohio",423.1117,50,3901030,390,1030,29677,423.1117488,29677,10001,35,9966,29677,0,278400,224838,224838,125223,80195,6003,13417
Meigs County,"Meigs County, Ohio",432.3764,50,3901050,390,1050,23961,432.3764235,23961,7068,29,7039,23961,0,263680,218382,218382,60316,127889,17004,13173
Mercer County,"Mercer County, Ohio",473.2923,50,3901070,390,1070,25096,473.2922692,25096,4664,1,4663,25096,0,288000,270256,270256,187325,66067,5121,11743
Miami County,"Miami County, Ohio",409.2189,50,3901090,390,1090,51301,409.2189093,51301,27243,32,27211,51301,0,261120,238804,238804,168853,55240,2312,12399
Monroe County,"Monroe County, Ohio",457.4578,50,3901110,390,1110,18426,457.4577711,18426,0,0,0,18426,0,286720,242891,242891,70458,120516,25918,25999
Montgomery County,"Montgomery County, Ohio",464.3444,50,3901130,390,1130,273481,464.3444281,273481,212994,17,212977,273481,200982,291200,232092,232092,149541,62732,2493,17326
Morgan County,"Morgan County, Ohio",421.8582,50,3901150,390,1150,13583,421.8582103,13583,0,0,0,13583,0,257280,242904,242904,58412,158819,10432,15241
Morrow County,"Morrow County, Ohio",407.355,50,3901170,390,1170,14489,407.3550166,14489,0,0,0,14489,0,257920,231738,231738,114217,102227,4854,10440
Muskingum County,"Muskingum County, Ohio",672.5903,50,3901190,390,1190,67398,672.5903452,67398,36440,27,36413,67398,36440,424960,351988,351988,111181,197230,16425,27152
Noble County,"Noble County, Ohio",404.5848,50,3901210,390,1210,14961,404.5847632,14961,0,0,0,14961,0,255360,236732,236732,62007,153163,9882,11680
