Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001
Sandusky County,"Sandusky County, Ohio",G3901430,3901430,11,39143,39,143,63267,412.348305
Scioto County,"Scioto County, Ohio",G3901450,3901450,11,39145,39,145,84545,616.073374
Seneca County,"Seneca County, Ohio",G3901470,3901470,11,39147,39,147,61901,552.365295
Shelby County,"Shelby County, Ohio",G3901490,3901490,11,39149,39,149,43089,411.035954
Stark County,"Stark County, Ohio",G3901510,3901510,11,39151,39,151,378823,580.908174
Summit County,"Summit County, Ohio",G3901530,3901530,11,39153,39,153,524472,420.061052
Trumbull County,"Trumbull County, Ohio",G3901550,3901550,11,39155,39,155,241863,634.714984
Tuscarawas County,"Tuscarawas County, Ohio",G3901570,3901570,11,39157,39,157,84614,571.482345
Union County,"Union County, Ohio",G3901590,3901590,11,39159,39,159,29536,436.974708
Van Wert County,"Van Wert County, Ohio",G3901610,3901610,11,39161,39,161,30458,410.484774
Vinton County,"Vinton County, Ohio",G3901630,3901630,11,39163,39,163,11584,414.959029
Warren County,"Warren County, Ohio",G3901650,3901650,11,39165,39,165,99276,407.139075
Washington County,"Washington County, Ohio",G3901670,3901670,11,39167,39,167,64266,640.147712
Wayne County,"Wayne County, Ohio",G3901690,3901690,11,39169,39,169,97408,556.310832
Williams County,"Williams County, Ohio",G3901710,3901710,11,39171,39,171,36369,423.050223
Wood County,"Wood County, Ohio",G3901730,3901730,11,39173,39,173,107372,620.539007
Wyandot County,"Wyandot County, Ohio",G3901750,3901750,11,39175,39,175,22651,407.620576
