Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T081_001,SE_T081_002,SE_T081_003,SE_T081_004,SE_T081_005
Logan County,"Logan County, Ohio",466.7751,50,3900910,390,910,30104,466.7751359,30104,9336,30104,0,274008,221877,52131,33977,18154
Lorain County,"Lorain County, Ohio",494.6683,50,3900930,390,930,90612,494.6682882,90612,62005,90612,37295,278195,209119,69076,34950,34126
Lucas County,"Lucas County, Ohio",347.0145,50,3900950,390,950,275721,347.0145405,275721,246359,275721,243164,152759,126991,25768,16354,9414
Madison County,"Madison County, Ohio",465.9407,50,3900970,390,970,19662,465.9406905,19662,4080,19662,0,289550,261094,28456,21937,6519
Mahoning County,"Mahoning County, Ohio",423.381,50,3900990,390,990,186310,423.3810368,186310,152983,186310,132358,209056,135712,73344,35427,37917
Marion County,"Marion County, Ohio",404.1442,50,3901010,390,1010,42004,404.14415,42004,27891,42004,27891,243373,216995,26378,21223,5155
Medina County,"Medina County, Ohio",423.1117,50,3901030,390,1030,26067,423.1117488,26067,8172,26067,0,249572,178097,71475,43400,28075
Meigs County,"Meigs County, Ohio",432.3764,50,3901050,390,1050,26189,432.3764235,26189,8066,26189,0,247377,170185,77192,49056,28136
Mercer County,"Mercer County, Ohio",473.2923,50,3901070,390,1070,26872,473.2922692,26872,4226,26872,0,276716,236650,40066,34223,5843
Miami County,"Miami County, Ohio",409.2189,50,3901090,390,1090,48428,409.2189093,48428,22304,48428,0,247273,217956,29317,16785,12532
Monroe County,"Monroe County, Ohio",457.4578,50,3901110,390,1110,20660,457.4577711,20660,0,20660,0,267944,190589,77355,52798,24557
Montgomery County,"Montgomery County, Ohio",464.3444,50,3901130,390,1130,209532,464.3444281,209532,156942,209532,152559,260307,221331,38976,21903,17073
Morgan County,"Morgan County, Ohio",421.8582,50,3901150,390,1150,14555,421.8582103,14555,0,14555,0,249034,198213,50821,33783,17038
Morrow County,"Morrow County, Ohio",407.355,50,3901170,390,1170,15570,407.3550166,15570,0,15570,0,239345,187461,51884,44213,7671
Muskingum County,"Muskingum County, Ohio",672.5903,50,3901190,390,1190,57980,672.5903452,57980,29569,57980,29569,392152,324151,68001,51906,16095
Noble County,"Noble County, Ohio",404.5848,50,3901210,390,1210,17849,404.5847632,17849,0,17849,0,241906,204370,37536,27235,10301
Ottawa County,"Ottawa County, Ohio",267.0984,50,3901230,390,1230,22193,267.0984085,22193,3928,22193,0,138750,117214,21536,11966,9570
Paulding County,"Paulding County, Ohio",418.8962,50,3901250,390,1250,18736,418.8962125,18736,0,18736,0,246265,220913,25352,19751,5601
Perry County,"Perry County, Ohio",412.5925,50,3901270,390,1270,36098,412.5924782,36098,6468,36098,0,218578,162287,56291,28967,27324
Pickaway County,"Pickaway County, Ohio",506.7893,50,3901290,390,1290,25788,506.7893478,25788,7049,25788,0,308497,285124,23373,15013,8360
Pike County,"Pike County, Ohio",443.9417,50,3901310,390,1310,14151,443.941743,14151,0,14151,0,229343,123165,106178,82728,23450
Portage County,"Portage County, Ohio",507.1042,50,3901330,390,1330,36269,507.1042042,36269,14289,36269,0,286070,181419,104651,48329,56322
Preble County,"Preble County, Ohio",426.3253,50,3901350,390,1350,23238,426.3253099,23238,3210,23238,0,263918,217971,45947,28681,17266
Putnam County,"Putnam County, Ohio",484.2261,50,3901370,390,1370,27751,484.2260971,27751,0,27751,0,292620,259691,32929,28114,4815
Richland County,"Richland County, Ohio",500.3257,50,3901390,390,1390,55178,500.3257215,55178,33402,55178,27824,299138,232453,66685,46056,20629
Ross County,"Ross County, Ohio",692.96,50,3901410,390,1410,41556,692.9600379,41556,15831,41556,0,384328,272680,111648,82479,29169
Sandusky County,"Sandusky County, Ohio",412.3483,50,3901430,390,1430,37109,412.3483058,37109,17776,37109,0,240257,202451,37806,20829,16977
Scioto County,"Scioto County, Ohio",616.0734,50,3901450,390,1450,62850,616.0733749,62850,37828,62850,33011,283237,127250,155987,122059,33928
Seneca County,"Seneca County, Ohio",552.3653,50,3901470,390,1470,43176,552.3652955,43176,22704,43176,0,332132,279747,52385,38135,14250
Shelby County,"Shelby County, Ohio",411.036,50,3901490,390,1490,25923,411.0359548,25923,8590,25923,0,245769,210359,35410,24983,10427
Stark County,"Stark County, Ohio",580.9082,50,3901510,390,1510,177218,580.9081748,177218,126122,177218,87091,328911,264306,64605,33465,31140
Summit County,"Summit County, Ohio",420.0611,50,3901530,390,1530,286065,420.0610528,286065,250129,286065,208435,204210,147856,56354,32718,23636
Trumbull County,"Trumbull County, Ohio",634.715,50,3901550,390,1550,83920,634.714985,83920,50006,83920,27050,330510,207909,122601,61776,60825
Tuscarawas County,"Tuscarawas County, Ohio",571.4823,50,3901570,390,1570,63578,571.4823452,63578,34160,63578,0,312604,247849,64755,41442,23313
Union County,"Union County, Ohio",436.9747,50,3901590,390,1590,20918,436.9747083,20918,3635,20918,0,263830,227016,36814,27844,8970
Van Wert County,"Van Wert County, Ohio",410.4848,50,3901610,390,1610,28210,410.4847746,28210,10676,28210,0,252450,224192,28258,24704,3554
Vinton County,"Vinton County, Ohio",414.959,50,3901630,390,1630,12075,414.9590297,12075,0,12075,0,193108,118874,74234,50215,24019
Warren County,"Warren County, Ohio",407.1391,50,3901650,390,1650,25716,407.1390756,25716,6467,25716,0,250348,199255,51093,30203,20890
Washington County,"Washington County, Ohio",640.1477,50,3901670,390,1670,43049,640.1477126,43049,15140,43049,0,368064,242079,125985,67333,58652
Wayne County,"Wayne County, Ohio",556.3108,50,3901690,390,1690,41346,556.3108323,41346,12311,41346,0,333949,268129,65820,46371,19449
Williams County,"Williams County, Ohio",423.0502,50,3901710,390,1710,24627,423.0502233,24627,7304,24627,0,257685,207475,50210,28914,21296
Wood County,"Wood County, Ohio",620.539,50,3901730,390,1730,44892,620.5390077,44892,5788,44892,0,356882,316979,39903,30266,9637
Wyandot County,"Wyandot County, Ohio",407.6206,50,3901750,390,1750,19481,407.620576,19481,3708,19481,0,245297,211971,33326,21674,11652
