Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T073_001,SE_T073_002,SE_T073_003,SE_T073_004,SE_T073_005,SE_T073_006,SE_T073_007,SE_T073_008,SE_T073_009
Huron County,"Huron County, Ohio",494.5127,50,3900770,390,770,34206,494.5126957,34206,14110,34206,0,290923,233779,162694,69110,1975,57144,38398,18210,536
Jackson County,"Jackson County, Ohio",421.4991,50,3900790,390,790,30791,421.4991208,30791,12343,30791,0,237014,172118,146355,15738,10025,64896,38622,4840,21434
Jefferson County,"Jefferson County, Ohio",410.8725,50,3900810,390,810,65423,410.8725212,65423,30711,65423,0,229405,158350,109303,47239,1808,71055,46423,23373,1259
Knox County,"Knox County, Ohio",529.5311,50,3900830,390,830,30181,529.5310711,30181,9087,30181,0,324716,269353,188663,78182,2508,55363,38334,16442,587
Lake County,"Lake County, Ohio",231.7139,50,3900850,390,850,22927,231.713917,22927,5501,22927,0,130748,92300,64037,16936,11327,38448,26639,7792,4017
Lawrence County,"Lawrence County, Ohio",457.2767,50,3900870,390,870,39488,457.2767256,39488,13147,39488,0,205345,133733,110402,18290,5041,71612,52705,7057,11850
Licking County,"Licking County, Ohio",688.3792,50,3900890,390,890,55590,688.3791723,55590,25404,55590,25404,414806,357929,256255,97197,4477,56877,40686,15562,629
Logan County,"Logan County, Ohio",466.7751,50,3900910,390,910,30084,466.7751359,30084,8238,30084,0,278978,226389,138808,83240,4341,52589,32040,20005,544
Lorain County,"Lorain County, Ohio",494.6683,50,3900930,390,930,76037,494.6682882,76037,48073,76037,28883,285729,232984,167977,61810,3197,52745,37293,14322,1130
Lucas County,"Lucas County, Ohio",347.0145,50,3900950,390,950,192728,347.0145405,192728,168497,192728,168497,165457,137543,91870,42784,2889,27914,18728,8737,449
Madison County,"Madison County, Ohio",465.9407,50,3900970,390,970,19902,465.9406905,19902,3530,19902,0,286586,263825,114894,137558,11373,22761,10001,11490,1270
Mahoning County,"Mahoning County, Ohio",423.381,50,3900990,390,990,116151,423.3810368,116151,87408,116151,79066,234999,164638,120938,38421,5279,70361,49754,18186,2421
Marion County,"Marion County, Ohio",404.1442,50,3901010,390,1010,33971,404.14415,33971,18232,33971,0,242376,216692,130708,81378,4606,25684,15996,9109,579
Medina County,"Medina County, Ohio",423.1117,50,3901030,390,1030,23598,423.1117488,23598,5807,23598,0,254968,190396,135513,53647,1236,64572,46310,17956,306
Meigs County,"Meigs County, Ohio",432.3764,50,3901050,390,1050,25594,432.3764235,25594,7217,25594,0,253846,192489,165355,24976,2158,61357,50672,10297,388
Mercer County,"Mercer County, Ohio",473.2923,50,3901070,390,1070,27536,473.2922692,27536,3493,27536,0,277605,232094,162242,67623,2229,45511,33020,11980,511
Miami County,"Miami County, Ohio",409.2189,50,3901090,390,1090,45047,409.2189093,45047,19510,45047,0,247456,221371,81398,136899,3074,26085,9274,16329,482
Monroe County,"Monroe County, Ohio",457.4578,50,3901110,390,1110,24244,457.4577711,24244,2502,24244,0,271577,201484,164873,35586,1025,70093,56281,13506,306
Montgomery County,"Montgomery County, Ohio",464.3444,50,3901130,390,1130,163763,464.3444281,163763,120848,163763,116577,268402,230520,115916,112272,2332,37882,18916,18235,731
Morgan County,"Morgan County, Ohio",421.8582,50,3901150,390,1150,16097,421.8582103,16097,0,16097,0,254407,203300,171925,28719,2656,51107,43024,7389,694
Morrow County,"Morrow County, Ohio",407.355,50,3901170,390,1170,16815,407.3550166,16815,0,16815,0,249236,202202,134522,65581,2099,47034,30772,15896,366
Muskingum County,"Muskingum County, Ohio",672.5903,50,3901190,390,1190,57488,672.5903452,57488,28026,57488,28026,396442,324520,259130,60486,4904,71922,57540,13624,758
Noble County,"Noble County, Ohio",404.5848,50,3901210,390,1210,18601,404.5847632,18601,0,18601,0,242325,210997,180384,28708,1905,31328,26906,4170,252
Ottawa County,"Ottawa County, Ohio",267.0984,50,3901230,390,1230,22360,267.0984085,22360,3007,22360,0,146887,120958,89073,28642,3243,25929,17908,6756,1265
Paulding County,"Paulding County, Ohio",418.8962,50,3901250,390,1250,22730,418.8962125,22730,0,22730,0,255609,220573,134627,83980,1966,35036,22190,12200,646
Perry County,"Perry County, Ohio",412.5925,50,3901270,390,1270,35396,412.5924782,35396,5587,35396,0,225685,172875,138836,32494,1545,52810,40486,11971,353
Pickaway County,"Pickaway County, Ohio",506.7893,50,3901290,390,1290,26158,506.7893478,26158,6744,26158,0,310422,283807,131698,145436,6673,26615,13329,12066,1220
Pike County,"Pike County, Ohio",443.9417,50,3901310,390,1310,15723,443.941743,15723,0,15723,0,242226,136462,101608,31489,3365,105764,82463,20512,2789
Portage County,"Portage County, Ohio",507.1042,50,3901330,390,1330,30307,507.1042042,30307,9798,30307,0,295552,184945,133191,48123,3631,110607,77046,31448,2113
Preble County,"Preble County, Ohio",426.3253,50,3901350,390,1350,23834,426.3253099,23834,3187,23834,0,265819,224891,117509,104445,2937,40928,20686,19581,661
