"Year","County","Population","Area","Urban_pop","Density","Prop_urban"
1890,"Adams",26093,585.7856879,0,44.5435942512381,0
1890,"Allen",40644,406.8799787,18312,99.8918652371626,0.450546206082079
1890,"Ashland",22223,426.8442626,3566,52.0634853204655,0.160464383746569
1890,"Ashtabula",43655,709.7655449,11579,61.5062259836107,0.26523880426068
1890,"Athens",35194,508.5371204,7178,69.2063540461264,0.203955219639711
1890,"Auglaize",28100,401.7178055,6616,69.9496004789362,0.235444839857651
1890,"Belmont",57413,541.3875198,22760,106.047882339825,0.396425896573947
1890,"Brown",29899,495.21664,0,60.375596425839,0
1890,"Butler",48597,470.2001799,25246,103.353852417358,0.519497088297632
1890,"Carroll",17566,399.0057851,0,44.0244243466233,0
1890,"Champaign",26980,429.7047661,6510,62.7872952047296,0.241289844329133
1890,"Clark",52277,403.7946845,31895,129.464309478794,0.610115347093368
1890,"Clermont",33553,457.6712534,0,73.3124480743277,0
1890,"Clinton",24240,412.2846827,3079,58.7943259042643,0.127021452145215
1890,"Columbiana",59029,535.1811095,24809,110.297241349099,0.420284944688204
1890,"Coshocton",26703,567.5733154,3672,47.0476663991522,0.137512639029323
1890,"Crawford",31927,402.8284317,15211,79.2570669981336,0.476430607322956
1890,"Cuyahoga",309970,459.4089174,275464,674.714809094822,0.888679549633836
1890,"Darke",42961,600.2857753,6766,71.5675795891211,0.157491678499104
1890,"Defiance",25769,414.1832822,7694,62.2164174833998,0.298575808141565
1890,"Delaware",27189,455.9736449,8224,59.6284463018972,0.302475265732465
1890,"Erie",35462,256.5773663,18471,138.211723471105,0.520867407365631
1890,"Fairfield",33939,508.5959272,7555,66.7307742451776,0.22260526238251
1890,"Fayette",22309,407.0773975,5742,54.8028461835688,0.257384911918956
1890,"Franklin",124087,543.3247829,88150,228.384575681758,0.710388678910764
1890,"Fulton",22023,407.319194,0,54.0681615902441,0
1890,"Gallia",27005,471.1353678,4498,57.3189827078824,0.166561747824477
1890,"Geauga",13489,408.2840356,0,33.0382743968351,0
1890,"Greene",29820,416.2127896,7301,71.6460443915201,0.244835680751174
1890,"Guernsey",28645,528.2915106,4361,54.2219578116385,0.152242974341072
1890,"Hamilton",374573,412.783997,304268,907.431011672674,0.812306279416829
1890,"Hancock",42563,533.5929542,19738,79.7667953914673,0.463736108826915
1890,"Hardin",28939,470.5338155,5557,61.5024872744773,0.192024603476278
1890,"Harrison",20830,410.7887208,2764,50.7073318844639,0.132693230916947
1890,"Henry",25080,419.9748001,3620,59.7178687721935,0.144338118022329
1890,"Highland",29048,557.8397218,0,52.0723047585601,0
1890,"Hocking",22658,423.5991399,3119,53.4892493061929,0.137655574190132
