"","Decade","County","Agriculture","Developed","Forest","Nontarget"
"1","1930","Adams","52.534680775","0.394146461250001","46.68731734","0.38385543175"
"2","1930","Allen","91.3251690225","2.38702407725","6.00017791499999","0.28762898875"
"3","1930","Ashland","79.2121486375","0.856851988500001","18.9242689849999","1.00673038825"
"4","1930","Ashtabula","54.1027646525","1.626313463","40.2565715574999","4.01435032475"
"5","1930","Athens","71.50227726","1.123209033","27.0507163824998","0.323797324250002"
"6","1930","Auglaize","92.8978807775","1.41682175675","4.7052290325","0.9800684395"
"7","1930","Belmont","63.0407663150002","2.36355535724999","33.357095125","1.238583204"
"8","1930","Brown","73.637941995","0.297109600499997","25.546534945","0.518413459"
"9","1930","Butler","72.9026544175001","2.92139446499999","23.898701035","0.277250089249996"
"10","1930","Carroll","77.2213149499999","1.633097441","20.2201657225","0.925421883000002"
"11","1930","Champaign","90.4264870975","1.01851851825","8.18041526374999","0.3745791245"
"12","1930","Clark","87.4196937875","3.89672770999999","8.52296607575001","0.16061242825"
"13","1930","Clermont","60.6914279725","-0.146889098250028","38.849543595","0.60591753175"
"14","1930","Clinton","90.22553092","0.881939975500003","8.825250103","0.0672790032500004"
"15","1930","Columbiana","67.4686428425","2.86500631700001","28.6342717924999","1.03207904775"
"16","1930","Coshocton","76.3961549899998","1.83318446675","20.5754753050001","1.19518523225"
"17","1930","Crawford","91.3406231225","1.55032953825","6.77052127","0.33852606375"
"18","1930","Cuyahoga","33.2707063275","46.0742064275","19.6407925175","1.01429472375"
"19","1930","Darke","94.76009338","0.8694602105","4.322143058","0.0483033452500001"
"20","1930","Defiance","88.36528377","0.80264537875","10.35281436","0.479256497000002"
"21","1930","Delaware","82.215801145","0.795598479500001","15.4646928475","1.52390753674999"
"22","1930","Erie","78.8062283725","3.00430188025001","13.96006734","4.22940241225"
"23","1930","Fairfield","81.459381225","1.20290405225001","16.6484768025","0.689237923749999"
"24","1930","Fayette","95.468148145","0.725925925749999","3.5837037035","0.2222222215"
"25","1930","Franklin","73.94192804","14.65329844","10.921210245","0.483563284749998"
"26","1930","Fulton","91.71999052","0.765789786000001","7.343879607","0.170340087"
"27","1930","Gallia","55.9453092975001","0.732281851250001","42.6131708325","0.709238017250001"
"28","1930","Geauga","63.461538455","0.218598605499992","33.4529717550001","2.86689117325"
"29","1930","Greene","86.14609937","2.92256791275","10.7688065975","0.1625261205"
"30","1930","Guernsey","74.2145401400001","1.183898073","23.939400855","0.662160928000002"
"31","1930","Hamilton","30.7819351075001","32.7506577","35.118386435","1.34902075425"
"32","1930","Hancock","93.5592530625","1.582493105","4.75200072375","0.106253109"
"33","1930","Hardin","94.660256405","0.69743589775","4.52307692275","0.11923076925"
"34","1930","Harrison","67.2656479625","2.78283867225","28.069350575","1.882162797"
"35","1930","Henry","93.802460615","0.855179946749999","4.554731517","0.787627917749999"
"36","1930","Highland","81.26216742","0.597014925749999","18.0456413625","0.0951762922500023"
"37","1930","Hocking","63.3697076725","0.592626359999999","35.82397857","0.213687389750003"
"38","1930","Holmes","80.1482303375","0.51638784625","18.8175714074999","0.517810401249999"
"39","1930","Huron","88.7837509075","0.990026757500001","9.81391388999998","0.4123084405"
"40","1930","Jackson","70.1742090524999","1.629097774","27.7676068374999","0.42908633225"
"41","1930","Jefferson","48.84094256","4.4963181145","45.3004418275001","1.36229749575"
"42","1930","Knox","82.6111718625","0.687989793499998","16.1495352625001","0.5513030805"
"43","1930","Lake","65.3270394350002","4.35530982750004","27.0055289000001","3.3121218445"
"44","1930","Lawrence","49.1907377099999","1.9868511375","48.5293341024999","0.293077045"
"45","1930","Licking","85.4460712","1.35524190725","12.7536689875","0.4450179055"
"46","1930","Logan","85.2111765925","1.2045078575","11.7982320075","1.78608354075"
"47","1930","Lorain","80.4688263449999","2.99276849424999","15.5538454050001","0.98455975825"
"48","1930","Lucas","58.7385225375","20.882025595","15.95888981","4.42056204775"
"49","1930","Madison","95.6913465525","0.826104915499997","3.2372986375","0.245249897"
"50","1930","Mahoning","59.9102935349999","11.186339635","25.3349798425","3.56838698725"
"51","1930","Marion","93.24683469","1.723005256","4.73453177300001","0.2956282845"
"52","1930","Medina","87.5064179425001","1.22796508649999","10.541103315","0.724513663000002"
"53","1930","Meigs","49.0238732700001","0.605198572500001","49.5774765775","0.7934515845"
"54","1930","Mercer","91.7002191575","0.866418633249999","3.7969522445","3.6364099685"
"55","1930","Miami","91.548881035","1.72261484075","6.64016489950001","0.0883392225000001"
"56","1930","Monroe","65.9797350850001","0.529051664750001","32.8289091825","0.662304078750001"
"57","1930","Montgomery","75.486911805","13.15051418","10.9652539775","0.397320037"
"58","1930","Morgan","73.0817646050002","0.26749442125","25.8139268775001","0.836814097999998"
"59","1930","Morrow","89.1824644549999","0.29472748875","10.362855455","0.15995260625"
"60","1930","Muskingum","76.0351261175001","2.20569767875","20.8056761500002","0.953500054499997"
"61","1930","Noble","70.6330510525002","0.499463263250002","27.6389551575","1.22853053425"
"62","1930","Ottawa","79.8330005475","1.84470865874999","9.20766019275","9.11463060475"
"63","1930","Paulding","93.4432603675","0.561635944250001","5.8078917055","0.187211981249999"
"64","1930","Perry","75.6872952725","2.49034861975","21.2739822174999","0.548373889000001"
"65","1930","Pickaway","91.5717621275","0.4979510155","7.69560659525","0.2346802625"
"66","1930","Pike","58.403098665","0.55857570025","40.70807285","0.330252786250004"
"67","1930","Portage","64.7374844425","0.806451612499984","31.0280463299999","3.42801761325001"
"68","1930","Preble","88.277315675","0.427205341000004","11.203530805","0.0919481699999984"
